字,辅码
〇,vv
〢,ll
㐀,ca
㐁,ar
㐂,qq
㐄,uv
㐅,pd
㐆,iv
㐇,jv
㐈,rv
㐉,dv
㐊,tv
㐋,tv
㐌,py
㐍,vv
㐎,wv
㐏,wv
㐐,nv
㐑,dv
㐒,dv
㐓,kv
㐔,wv
㐕,yv
㐖,tv
㐗,lv
㐘,mv
㐙,dv
㐚,wv
㐛,rv
㐜,qj
㐝,fv
㐞,cv
㐟,fv
㐠,vv
㐡,jd
㐢,dv
㐣,gv
㐤,jb
㐥,jv
㐦,jv
㐨,yy
㐩,jj
㐫,wx
㐬,wi
㐭,wk
㐮,yf
㐯,wo
㐰,rk
㐱,rp
㐲,rd
㐳,rw
㐴,rx
㐵,ry
㐶,rs
㐷,rm
㐸,rq
㐹,rq
㐺,rr
㐻,rn
㐼,rc
㐽,rf
㐾,ry
㐿,ru
㑀,rt
㑁,ri
㑂,rn
㑃,rl
㑄,rm
㑅,ru
㑆,rx
㑇,re
㑈,rd
㑉,rd
㑊,rb
㑋,rq
㑌,rw
㑍,rl
㑎,ru
㑏,rc
㑐,rx
㑑,rz
㑒,rr
㑓,ry
㑔,ry
㑕,rx
㑖,rv
㑗,ru
㑘,rc
㑙,rv
㑚,re
㑛,ru
㑜,rt
㑝,rc
㑞,rc
㑟,rb
㑠,rt
㑡,re
㑢,re
㑣,ra
㑤,rt
㑥,rw
㑦,rq
㑧,rz
㑨,ru
㑩,rx
㑪,ro
㑫,rx
㑬,rg
㑭,rw
㑮,ri
㑯,ry
㑰,ru
㑱,ra
㑲,rg
㑳,rc
㑴,ry
㑵,ru
㑶,rm
㑷,rb
㑸,rk
㑹,ro
㑺,rn
㑻,ru
㑼,rk
㑽,rt
㑾,rk
㑿,rg
㒀,rg
㒁,rg
㒂,ro
㒃,rb
㒄,rh
㒅,rx
㒆,rx
㒇,rh
㒈,rw
㒉,ra
㒊,rv
㒋,rt
㒌,rj
㒍,rx
㒎,rf
㒏,rd
㒐,ro
㒑,rv
㒒,rw
㒓,ry
㒔,ri
㒕,rv
㒖,rd
㒗,rt
㒘,rl
㒙,rj
㒚,rx
㒛,rv
㒜,rb
㒝,rd
㒞,rk
㒟,rm
㒠,rj
㒡,rx
㒢,rc
㒣,rx
㒤,re
㒥,rb
㒦,rt
㒧,rv
㒨,rv
㒩,ri
㒪,ru
㒫,ee
㒬,yw
㒭,xx
㒮,yu
㒯,gf
㒰,rg
㒱,rx
㒲,ro
㒳,kr
㒴,ri
㒵,bb
㒶,bb
㒷,kb
㒸,bu
㒹,ub
㒺,kr
㒻,oj
㒼,cr
㒽,ov
㒾,oy
㒿,ov
㓀,bb
㓁,be
㓂,bn
㓃,bq
㓄,se
㓅,dd
㓆,dl
㓇,dy
㓈,du
㓉,du
㓊,dk
㓋,dg
㓌,dw
㓍,dy
㓎,dy
㓏,dk
㓐,dt
㓑,dg
㓒,dx
㓓,dg
㓔,dc
㓕,dh
㓖,df
㓗,dx
㓘,jy
㓙,kw
㓚,gd
㓛,gd
㓜,yd
㓝,jd
㓞,fd
㓟,pd
㓠,vd
㓡,fd
㓢,wd
㓣,rd
㓤,td
㓥,xd
㓦,bd
㓧,rd
㓨,dd
㓩,dd
㓪,ld
㓫,dd
㓬,jd
㓭,od
㓮,kd
㓯,vd
㓰,ad
㓱,rd
㓲,hd
㓳,od
㓴,ed
㓵,xd
㓶,fd
㓷,zd
㓸,yd
㓹,id
㓺,hd
㓻,sd
㓼,ad
㓽,ud
㓾,ud
㓿,hd
㔀,od
㔁,bd
㔂,md
㔃,sd
㔄,xd
㔅,yd
㔆,wd
㔇,bd
㔈,cd
㔉,ud
㔊,wd
㔋,id
㔌,ed
㔍,vd
㔎,cd
㔏,ud
㔐,vd
㔑,cd
㔒,ud
㔓,ql
㔕,ql
㔗,fl
㔘,il
㔙,bl
㔚,ul
㔛,tl
㔜,vl
㔝,ll
㔞,ql
㔟,ul
㔠,ol
㔡,pl
㔢,sl
㔣,tl
㔤,bl
㔥,sl
㔦,yl
㔧,hl
㔨,bo
㔩,bm
㔪,bd
㔫,ub
㔬,bu
㔭,bz
㔮,cb
㔯,kk
㔰,kb
㔱,kr
㔲,kj
㔳,kj
㔴,kg
㔵,kg
㔶,kb
㔷,kn
㔸,kj
㔹,ul
㔺,uu
㔻,bu
㔼,fu
㔽,bk
㔾,vv
㔿,aj
㕀,yv
㕁,xe
㕂,iv
㕃,ik
㕄,iy
㕅,ij
㕆,ig
㕇,il
㕈,iy
㕉,ik
㕊,if
㕋,ij
㕌,ic
㕍,iv
㕎,im
㕏,id
㕐,ih
㕑,ic
㕒,iw
㕓,it
㕔,ix
㕕,ss
㕖,sa
㕗,ys
㕘,sx
㕙,st
㕚,yd
㕛,yy
㕜,vy
㕝,gy
㕞,uy
㕟,by
㕠,dy
㕡,bg
㕢,bb
㕣,bk
㕤,kj
㕥,kr
㕦,kd
㕧,ku
㕨,kf
㕩,kf
㕪,ke
㕫,kf
㕬,kg
㕭,ky
㕮,kf
㕯,nk
㕰,km
㕱,ky
㕲,ka
㕳,kx
㕴,kj
㕵,kw
㕶,kw
㕷,kb
㕸,kl
㕹,ky
㕺,xk
㕻,dk
㕼,kx
㕽,kr
㕾,xb
㕿,hk
㖀,ky
㖁,ks
㖂,ky
㖃,kk
㖄,kv
㖅,ka
㖆,kq
㖇,ke
㖈,lk
㖉,kv
㖊,kc
㖋,jb
㖌,rb
㖍,db
㖎,kj
㖏,kt
㖐,xy
㖑,kc
㖒,kd
㖓,kf
㖔,kk
㖕,kx
㖖,xk
㖗,kv
㖘,ki
