zhū mù láng mǎ	株木琅玛
qīn hé yǐ kān	衾何以堪
mò míng qí miào	墨明棋妙
yā lì shān dà	压力山大
yā lí shān dà	鸭梨山大
má má lài lài	麻麻赖赖
jué dài shuāng jiāo	绝代双椒
huǐ rén bú juàn	毁人不倦
fó jiào shèng dì	佛教胜地
shān shān lái chī	杉杉来吃
shí huà shí shuō	食话食说
ling ling zong zong	零零总总
qì rú bì lǚ	弃如敝履
kǎ kòu	卡扣
wèi zēng	味噌
wèi zēng tāng	味噌汤
tài chà jìng	太差劲
wén zōu zōu	文绉绉
dà zhà lán	大栅栏
nián tiē	粘贴
pù guāng	曝光
dong yang dao	东庠岛
shì píng	视频
pāo fù chǎn	剖腹产
zu sai	阻塞
zháo xiǎng	着想
bēn kuì	崩溃
jù máng	句芒
hōng péi	烘焙
xiàn mèi	谄媚
zháo luò	着落
lei cha	胁差
gāng jìn	刚劲
jing jing	井陉
hu ting	猇亭
hu ting qu	猇亭区
shǐ nì	屎溺
dong yang	东庠
lü xian	莒县
jun xian	浚县
ye cheng	郯城
lì shuǐ	丽水
huī chūn	珲春
yòng zhí	甪直
wǔ kù	五厍
tái zhōu	台州
shan zhong	膻中
yíng chí	渑池
shéng chí	渑池
qiān shān	铅山
qiān shān xiàn	铅山县
àn nài	按耐
béng jie	甭介
bié jie	别介
bīn láng	槟榔
cao zhi	草薙
chān he	掺和
cheng zhi	称职
cī yá	龇牙
cī zhe yá	龇着牙
cī yá liě zuǐ	龇牙咧嘴
còu huo	凑活
dào hang	道行
gěi yǔ	给予
hòu pǔ	厚朴
hun dun	馄饨
jiǎo sè	角色
jié zhā	结扎
jù huì	钜惠
zhǔ jiǎo	主角
nǚ zhǔ jiǎo	女主角
mái yuàn	埋怨
mó bǎn	模板
mó jù	模具
mó yàng	模样
rén mó gǒu yàng	人模狗样
yì mó yí yàng	一模一样
yǒu mó yǒu yàng	有模有样
zhuāng mó zuò yàng	装模作样
mù nà	木讷
nòng táng	弄堂
nuǎn he	暖和
nuò dà	偌大
qiáng jìn	强劲
shuì fú	说服
sì de	似的
téng màn	藤蔓
tiáo huàn	调换
tóng tǐ	胴体
xún má	荨麻
qián má zhěn	荨麻疹
háo zhōu	亳州
tiān píng zuò	天秤座
ga ran er zhi	戛然而止
zì yuàn zì ài	自怨自艾
hóng dòng	洪洞
wèi xiàn	蔚县
chéng zhōu	嵊州
zhī shēng	吱声
bó jǐng	脖颈
bó jǐng er	脖颈儿
cao zhi jian	草薙剑
cao zhi jing	草薙京
dà wǎn mǎ	大宛马
dú lè lè	独乐乐
zhoòng lè lè	众乐乐
hǎi shēn wēi	海参崴
jià píng wā	贾平凹
kǎ bó zi	卡脖子
liù ān	六安
liù ān shì	六安市
liù ān xiàn	六安县
liù hé qū	六合区
an hui liu an	安徽六安
nán jīng liù hé	南京六合
ān huī liù ān shì	安徽六安市
nán jīng liù hé qū	南京六合区
ān huī shěng liù ān shì	安徽省六安市
nán jīng shì liù hé qū	南京市六合区
luó shī fěn	螺蛳粉
wēn tíng jūn	温庭筠
guān kǎ	关卡
niú pí xiǎn	牛皮癣
sān wèi zhēn huǒ	三昧真火
yōu huì juàn	优惠券
méi shí zǐ	没食子
mó xiē zuò	魔蝎座
pan yang hu	鄱阳湖
qī kē fū	契科夫
tài xíng shān	太行山
tóu pí xuè	头皮屑
wàn bó lín	万柏林
xuě fó lán	雪佛兰
yā lǜ jiāng	鸭绿江
zhāng bǎi zhī	张柏芝
ā mí tuó fó	阿弥陀佛
nā mó ā mí tuó fó	南无阿弥陀佛
nán wú ā mí tuó fó	南无阿弥陀佛
nán wú ē mí tuó fó	南无阿弥陀佛
àn nài bú zhù	按耐不住
dà fù biàn biàn	大腹便便
jiē sī dǐ lǐ	歇斯底里
lì néng káng dǐng	力能扛鼎
mó líng liǎng kě	模棱两可
xīn kuān tǐ pàng	心宽体胖
xu yu wei she	虚与委蛇
xuè mài fèn zhāng	血脉偾张
xuè mài pēn zhāng	血脉喷张
yǐn jiù jiě kě	饮鸩解渴
yǐn jiù zhǐ kě	饮鸩止渴
mù rán huí shǒu	蓦然回首
shí jí ér shàng	拾级而上
