zhū mù láng mǎ	株木琅玛
qīn hé yǐ kān	衾何以堪
mò míng qí miào	墨明棋妙
yā lì shān dà	压力山大
yā lí shān dà	鸭梨山大
má má lài lài	麻麻赖赖
jué dài shuāng jiāo	绝代双椒
huǐ rén bú juàn	毁人不倦
fó jiào shèng dì	佛教胜地
shān shān lái chī	杉杉来吃
shí huà shí shuō	食话食说
ling ling zong zong	零零总总
tai cha jing	太差劲
wen zou zou	文绉绉
da zha lan	大栅栏
nian tie	粘贴
pu guang	曝光
dong yang dao	东庠岛
shi ping	视频
pao fu chan	剖腹产
zu sai	阻塞
zhao xiang	着想
ben kui	崩溃
ju mang	句芒
hong pei	烘焙
xian mei	谄媚
zhao luo	着落
lei cha	胁差
gang jin	刚劲
jing jing	井陉
hu ting	猇亭
hu ting qu	猇亭区
shi ni	屎溺
dong yang	东庠
lü xian	莒县
jun xian	浚县
ye cheng	郯城
lì shuǐ	丽水
hui chun	珲春
yong zhi	甪直
wu ku	五厍
tái zhōu	台州
shan zhong	膻中
yin chi	渑池
sheng chi	渑池
qian shan	铅山
qian shan xian	铅山县
an nai	按耐
béng jie	甭介
bié jie	别介
bin lang	槟榔
bo jing	脖颈
cao zhi	草薙
chan he	掺和
cheng zhi	称职
ci ya	龇牙
còu huo	凑活
dao hang	道行
gei yu	给予
hou pu	厚朴
hun dun	馄饨
jiao se	角色
jie zha	结扎
jù huì	钜惠
liu an	六安
nv zhu jiao	女主角
mai yuan	埋怨
mo ban	模板
mo ju	模具
mo yang	模样
mu na	木讷
nong tang	弄堂
nuan he	暖和
nuo da	偌大
qiang jin	强劲
shui fu	说服
si de	似的
teng man	藤蔓
tiao huan	调换
tong ti	胴体
xun ma	荨麻
hao zhou	亳州
tian ping zuo	天秤座
ga ran er zhi	戛然而止
zi yuan zi ai	自怨自艾
hong dong	洪洞
wei xian	蔚县
cheng zhou	嵊州
zhi sheng	吱声
zhu jiao	主角
bo jing er	脖颈儿
cao zhi jian	草薙剑
cao zhi jing	草薙京
ci zhe ya	龇着牙
da wan ma	大宛马
du le le	独乐乐
hai shen wei	海参崴
jia ping ao	贾平凹
ka bo zi	卡脖子
liu an shi	六安市
liu an xian	六安县
liu he qū	六合区
luo shi fen	螺蛳粉
wen ting jun	温庭筠
guan ka	关卡
niu pi xian	牛皮癣
san wei zhen huo	三昧真火
you hui juan	优惠券
mei shi zi	没食子
mó xiē zuò	魔蝎座
pan yang hu	鄱阳湖
qī kē fū	契科夫
qian ma zhen	荨麻疹
tai xing shan	太行山
tou pi xue	头皮屑
wàn bó lín	万柏林
xue fo lan	雪佛兰
ya lv jiang	鸭绿江
zhang bai zhi	张柏芝
zhong le le	众乐乐
a mi tuo fo	阿弥陀佛
an hui liu an	安徽六安
àn nài bú zhù	按耐不住
ci ya lie zui	龇牙咧嘴
da fu bian bian	大腹便便
jie si di li	歇斯底里
li neng kang ding	力能扛鼎
mo ling liang ke	模棱两可
nan jing liu he	南京六合
ren mo gou yang	人模狗样
xin kuan ti pang	心宽体胖
xu yu wei she	虚与委蛇
xuè mài fèn zhāng	血脉偾张
xuè mài pēn zhāng	血脉喷张
yi mo yi yang	一模一样
yin jiu jie ke	饮鸩解渴
yin jiu zhi ke	饮鸩止渴
yin zhen jie ke	饮鸩解渴
you mo you yang	有模有样
zhuang mo zuo yang	装模作样
an hui liu an shi	安徽六安市
nan jing liu he qu	南京六合区
an hui sheng liu an shi	安徽省六安市
na mo a mi tuo fo	南无阿弥陀佛
nan jing shi liu he qu	南京市六合区
nan wu a mi tuo fo	南无阿弥陀佛
nan wu e mi tuo fo	南无阿弥陀佛
mu ran hui shou	蓦然回首
