hóng huà	红话
gōu liú	勾留
guā dā	呱嗒
xǐ rén	喜人
gè nào	各闹
shī xiào	失笑
jǐn bā	紧巴
yíng shēng	营生
nà xīn	呐心
nòu nà xīn	耨呐心
bú jì míng	不记明
piàn ne wa	片呢哇
hú jué	胡嚼
xián zhī	嫌吱
gè jiū	各揪
gē tā	疙塌
cuō zhe	磋着
róng gá	溶噶
nǎi xīn	乃心
gá qiè	噶切
qiè ba	切吧
gè lè er	各乐儿
shān gè lā	山各拉
gǔn lüè	滚略
niào xīng	尿兴
lèng qiú gá	愣求噶
chéng sè	成色
gè pào	各泡
yù jiāo	玉茭
nà gāo	那糕
wāng wāng	汪汪
kuǐ lěi	傀儡
hé lào	合烙
zhuā qià	抓恰
gē jiū	圪揪
guǎ qì	寡气
tā guō le	塌锅了
zǎ dǐ	咋底
shèn me lǎo guò	甚么老过
gē cù dǎ dàn	圪促打蛋
bī dōu	逼兜
nài xīn	耐心
zhōu gē	周割
gài wò	盖握
néng dài	能带
bēng lóu	崩楼
pū dēng niú zi	扑灯牛子
hēi léng ér	黑楞儿
gǎng gǎng	岗岗
zǐ bèi	子背
hú zi	胡子
jié ké zǐ	结壳子
gè quān er tóu	个圈儿头
gè shēng ér	个生儿
dōu ér	兜儿
bú dài zǐ	不逮子
bú dài ér	不逮儿
gè nào	个闹
jiā bā qiǎo ér	家巴巧儿
gǒu wá ér	狗娃儿
māo wá ér	猫娃儿
jī wá ér	鸡娃儿
shǐ jiè	屎介
gè dū	个督
tiáo chū	条出
fāng zǔ huò	方祖货
shōu shōu	收收
tiě qiān	铁千
tè lā bǎn er	特拉板儿
hēi lǎng zǐ	黑朗子
mò pō	莫坡
yǎn zhā máo	眼扎毛
gè bài	个拜
gè lào zhǐ wō ér	个涝指窝儿
liū tiān	溜天
bǎi liě	摆咧
pá cháng	爬长
děng dāng	等当
bú là	不辣
tái guō	抬郭
chù bú xià qǐ	处不下起
gè duì	个对
chàn dá	颤达
hū chàn	忽颤
diāo duó	叼夺
wù lüè	勿略
chuō guǐ	戳鬼
chuō lóu zǐ	戳楼子
dìng měi	定每
dǎo nián	导年
niē biǎn	捏扁
tān huò	摊霍
hū diān	忽颠
gè tǎ	个塔
gè jué	个嚼
rú jié	如节
rào jié	绕节
hū dǒu	忽抖
dǒu dá	抖达
gè jiū	个纠
wō quē	窝缺
shí fān	十翻
jiào hū	叫忽
zhé léng	折楞
níng mí	宁迷
lǎo sè	老色
lǎo guō	老郭
chǒu niàn	丑念
hǔ cā	虎擦
zhà huò	炸霍
hū zhà	忽炸
gè chōu	个抽
jiū jué	揪决
hū shā	忽沙
niào xī	尿西
guā dá	瓜达
lǚ hū	旅忽
gè rào	个绕
hū rào	忽绕
