a	A+
a bān	A班
a bēi	A杯
a dàng	A档
a diǎn	A点
a dòng	A栋
a gǔ	A股
a jí	A级
a kǎ	A卡
a ké	A壳
a kǒu	A口
a kuǎn	A款
a lóu	A楼
a miàn	A面
a pán	A盘
a piàn	A片
a píng	A屏
ā q	阿Q
a qū	A区
a sì	A4
a tǎ	A塔
a xíng	A型
a zhàn	A站
a zhàng	A杖
a zhào	A罩
a zhù	A柱
a zǔ	A组
a zuò	A座
b bān	B班
b bēi	B杯
b chāo	B超
b diǎn	B点
b dòng	B栋
b gē	B哥
b gǔ	B股
b huà	B话
b jí	B级
b ké	B壳
b kǒu	B口
b kuǎn	B款
b lóu	B楼
b miàn	B面
b pán	B盘
b qū	B区
b xíng	B型
b zhàn	B站
b zhào	B罩
b zhù	B柱
b zǔ	B组
b zuò	B座
c bān	C班
c bēi	C杯
c diàn	C店
c dòng	C栋
c jí	C级
c ké	C壳
c kǒu	C口
c kuǎn	C款
c lóu	C楼
c luó	C罗
c miàn	C面
c pán	C盘
c qū	C区
c wèi	C位
c xíng	C型
c zhào	C罩
c zhù	C柱
c zǔ	C组
c zuò	C座
cáng a	藏A
cáng a	藏A
cáng b	藏B
cáng c	藏C
cáng d	藏D
cáng e	藏E
cáng f	藏F
cáng g	藏G
cáng h	藏H
cáng j	藏J
chàng k	唱K
chuān a	川A
chuān b	川B
chuān c	川C
chuān d	川D
chuān e	川E
chuān f	川F
chuān h	川H
chuān j	川J
chuān k	川K
chuān l	川L
chuān m	川M
chuān q	川Q
chuān r	川R
chuān s	川S
chuān t	川T
chuān u	川U
chuān v	川V
chuān w	川W
chuān x	川X
chuān y	川Y
chuān z	川Z
ci	Ci
d bān	D班
d bēi	D杯
d dàng	D档
d dòng	D栋
d jí	D级
d ké	D壳
d kǒu	D口
d kuǎn	D款
d lóu	D楼
d miàn	D面
d pán	D盘
d qū	D区
d xíng	D型
d zhào	D罩
d zhù	D柱
d zǔ	D组
d zuò	D座
dà v	大V
db	dB
dòu b	逗B
è a	鄂A
è b	鄂B
e bēi	E杯
è c	鄂C
è d	鄂D
e dòng	E栋
è e	鄂E
è f	鄂F
è g	鄂G
è h	鄂H
è j	鄂J
è k	鄂K
e kǒu	E口
e kuǎn	E款
è l	鄂L
e lóu	E楼
è m	鄂M
è n	鄂N
è p	鄂P
e pán	E盘
è q	鄂Q
e qū	E区
è r	鄂R
è s	鄂S
e xíng	E型
e zhào	E罩
e zǔ	E组
e zuò	E座
èr b	2B
èr b	二B
èr h	2H
f bā	F8
f bēi	F杯
f diào	F调
f dòng	F栋
f èr	F2
f jiǔ	F9
f kǒu	F口
f kuǎn	F款
f liù	F6
f lóu	F楼
f pán	F盘
f qī	F7
f qū	F区
f sān	F3
f sì	F4
f wǔ	F5
f xíng	F型
f yī	F1
f zhào	F罩
f zǔ	F组
f zuò	F座
g bēi	G杯
g diǎn	G点
g pán	G盘
g pàng	G胖
g zhào	G罩
gān a	甘A
gàn a	赣A
gān b	甘B
gàn b	赣B
gān c	甘C
gàn c	赣C
gān d	甘D
gàn d	赣D
gān e	甘E
gàn e	赣E
gān f	甘F
gàn f	赣F
gān g	甘G
gàn g	赣G
gān h	甘H
gàn h	赣H
gān j	甘J
gàn j	赣J
gān k	甘K
gàn k	赣K
gān l	甘L
gàn l	赣L
gān m	甘M
gàn m	赣M
gān n	甘N
gān p	甘P
gb	GB
guì a	贵A
guì a	桂A
guì b	贵B
guì b	桂B
guì c	贵C
guì c	桂C
guì d	贵D
guì d	桂D
guì e	贵E
guì e	桂E
guì f	贵F
guì f	桂F
guì g	贵G
guì g	桂G
guì h	贵H
guì h	桂H
guì j	贵J
guì j	桂J
guì k	桂K
guì l	桂L
guì m	桂M
guì n	桂N
guì p	桂P
guì r	桂R
h bǎn	H版
h bēi	H杯
h diào	H调
h gǔ	H股
h zhào	H罩
hēi a	黑A
hēi b	黑B
hēi c	黑C
hēi d	黑D
hēi e	黑E
hēi f	黑F
hēi g	黑G
hēi h	黑H
hēi j	黑J
hēi k	黑K
hēi l	黑L
hēi m	黑M
hēi n	黑N
hēi p	黑P
hēi r	黑R
hz	Hz
i bā	i8
i jiǔ	i9
i liù	i6
i qī	i7
i sān	i3
j pán	J盘
jí a	吉A
jì a	冀A
jí b	吉B
jì b	冀B
jí c	吉C
jì c	冀C
jí d	吉D
jì d	冀D
jí e	吉E
jì e	冀E
jí f	吉F
jì f	冀F
jí g	吉G
jì g	冀G
jí h	吉H
jì h	冀H
jí j	吉J
jì j	冀J
jí k	吉K
jì r	冀R
jì s	冀S
jì t	冀T
jiā q	加Q
jìn a	晋A
jìn b	晋B
jìn c	晋C
jìn d	晋D
jìn e	晋E
jìn f	晋F
jìn h	晋H
jìn j	晋J
jìn k	晋K
jìn l	晋L
jìn m	晋M
k bǎo	K宝
k fěn	K粉
k gē	K歌
k jì	K记
k xiàn	K线
kb	KB
kn	kN
kw	kW
l	μL
l bā	L8
l diào	L调
l jiǔ	L9
l liù	L6
l mǎ	L码
l qī	L7
lǎo k	老K
liáo a	辽A
liáo b	辽B
liáo c	辽C
liáo d	辽D
liáo e	辽E
liáo f	辽F
liáo g	辽G
liáo h	辽H
liáo j	辽J
liáo k	辽K
liáo l	辽L
liáo m	辽M
liáo n	辽N
liáo p	辽P
liù g	6G
lǔ a	鲁A
lǔ b	鲁B
lǔ c	鲁C
lǔ d	鲁D
lǔ e	鲁E
lǔ f	鲁F
lǔ g	鲁G
lǔ h	鲁H
lǔ j	鲁J
lǔ k	鲁K
lǔ l	鲁L
lǔ m	鲁M
lǔ n	鲁N
lǔ p	鲁P
lǔ q	鲁Q
lǔ r	鲁R
lǔ s	鲁S
lǔ u	鲁U
lǔ v	鲁V
lǔ y	鲁Y
m dàng	M档
m diào	M调
m gē	M哥
m jì	M记
m mǎ	M码
ma	mA
mb	MB
méng a	蒙A
méng b	蒙B
méng c	蒙C
méng d	蒙D
méng e	蒙E
méng f	蒙F
méng g	蒙G
méng h	蒙H
méng j	蒙J
méng k	蒙K
méng l	蒙L
méng m	蒙M
mǐn a	闽A
mǐn b	闽B
mǐn c	闽C
mǐn d	闽D
mǐn e	闽E
mǐn f	闽F
mǐn g	闽G
mǐn h	闽H
mǐn j	闽J
mǐn k	闽K
ml	mL
n biàn	N遍
n cì	N次
n dàng	N档
n duō	N多
n gǔ	N股
n kǎ	N卡
n nián	N年
níng a	宁A
níng b	宁B
níng c	宁C
níng d	宁D
níng e	宁E
niú b	牛B
o xíng	O型
p dàng	P档
p mián	P棉
p shè	P社
p tú	P图
p zhàn	P站
pa	Pa
píng a	平A
q bǎn	Q版
q bì	Q币
q dàn	Q弹
q wǒ	Q我
qī z	7z
qīng a	青A
qīng b	青B
qīng c	青C
qīng d	青D
qīng e	青E
qīng f	青F
qīng g	青G
qīng h	青H
qióng a	琼A
qióng b	琼B
qióng c	琼C
qióng d	琼D
qióng e	琼E
r dàng	R档
r diào	R调
r èr	R2
r jí	R级
r jiǎo	R角
r qī	R7
r wǔ	R5
s dàng	S档
s diào	S调
s gǔ	S股
s jí	S级
s mǎ	S码
s sān	S3
s xíng	S形
sān a	3A
sān d	3D
sān m	3M
shǎ b	傻B
shǎ x	傻X
shǎn a	陕A
shǎn b	陕B
shǎn c	陕C
shǎn d	陕D
shǎn e	陕E
shǎn f	陕F
shǎn g	陕G
shǎn h	陕H
shǎn j	陕J
shǎn k	陕K
shǎn u	陕U
shǎn v	陕V
sì a	4A
sì a	4A
sì b	4B
sì h	4H
sì x	4X
sū a	苏A
sū b	苏B
sū c	苏C
sū d	苏D
sū e	苏E
sū f	苏F
sū g	苏G
sū h	苏H
sū j	苏J
sū k	苏K
sū l	苏L
sū m	苏M
sū n	苏N
sū u	苏U
t tái	T台
t wěi	T尾
t xù	T恤
u dùn	U盾
u pán	U盘
u xíng	U形
v lǐng	V领
v shā	V煞
v shè	V社
v zhàn	V站
wǎn a	皖A
wǎn b	皖B
wǎn c	皖C
wǎn d	皖D
wǎn e	皖E
wǎn f	皖F
wǎn g	皖G
wǎn h	皖H
wǎn j	皖J
wǎn k	皖K
wǎn l	皖L
wǎn m	皖M
wǎn n	皖N
wǎn p	皖P
wǎn r	皖R
wǎn s	皖S
wéi a	维A
wéi b	维B
wéi c	维C
wéi d	维D
wéi e	维E
wéi k	维K
wǔ g	5G
x dāo	X刀
x guāng	X光
x zhóu	X轴
xī zàng	西藏
xiāng a	湘A
xiāng b	湘B
xiāng c	湘C
xiāng d	湘D
xiāng e	湘E
xiāng f	湘F
xiāng g	湘G
xiāng h	湘H
xiāng j	湘J
xiāng k	湘K
xiāng l	湘L
xiāng m	湘M
xiāng n	湘N
xiāng u	湘U
xīn a	新A
xīn b	新B
xīn c	新C
xīn d	新D
xīn e	新E
xīn f	新F
xīn g	新G
xīn h	新H
xīn j	新J
xīn k	新K
xīn l	新L
xīn m	新M
xīn n	新N
xīn p	新P
xīn q	新Q
xīn r	新R
y zhóu	Y轴
yù a	豫A
yù b	豫B
yú c	渝C
yù c	豫C
yù d	豫D
yù e	豫E
yú f	渝F
yù f	豫F
yú g	渝G
yù g	豫G
yú h	渝H
yù h	豫H
yù j	豫J
yù k	豫K
yù l	豫L
yù m	豫M
yù n	豫N
yù p	豫P
yù q	豫Q
yù r	豫R
yù s	豫S
yù u	豫U
yuè a	粤A
yuè b	粤B
yuè c	粤C
yuè d	粤D
yuè e	粤E
yuè f	粤F
yuè g	粤G
yuè h	粤H
yuè j	粤J
yuè k	粤K
yuè l	粤L
yuè m	粤M
yuè n	粤N
yuè p	粤P
yuè q	粤Q
yuè r	粤R
yuè s	粤S
yuè t	粤T
yuè u	粤U
yuè v	粤V
yuè w	粤W
yuè x	粤X
yuè y	粤Y
yuè z	粤Z
yún a	云A
yún b	云B
yún c	云C
yún d	云D
yún e	云E
yún f	云F
yún g	云G
yún h	云H
yún j	云J
yún k	云K
yún l	云L
yún m	云M
yún n	云N
yún p	云P
yún q	云Q
yún r	云R
yún s	云S
z zhóu	Z轴
zhè a	浙A
zhè b	浙B
zhè c	浙C
zhè d	浙D
zhè e	浙E
zhè f	浙F
zhè g	浙G
zhè h	浙H
zhè j	浙J
zhè k	浙K
zhè l	浙L
zhuāng b	装B
a chū kǒu	A出口
ā ěr fǎ lì zǐ	α粒子
ā ěr fǎ lì zǐ	α粒子
a hé b	A和B
a sì yāo	A4腰
a sì zhǐ	A4纸
a xíng hào	A型号
a xíng xuè	A型血
a xuè xíng	A血型
a zhào bēi	A罩杯
aa ba	AA吧
aa zhì	AA制
ab xíng	AB型
ac hào	AC号
ad gài	AD钙
ài aa	艾AA
av hào	AV号
av yī	AV1
b chū kǒu	B出口
b huà bǎng	B话榜
b huà duō	B话多
b xì bāo	B细胞
b xíng hào	B型号
b xíng xuè	B型血
b xuè xíng	B血型
b zhào bēi	B罩杯
bā bā shì	88式
bā bǐ q	芭比Q
bā líng shì	80式
bā liù	+86
bā wǔ shì	85式
bā zì huán	8字环
bb jī	BB机
bb shá	BB啥
bèi tǎ lì zǐ	β粒子
bèi tǎ lì zǐ	β粒子
bù ok	不OK
bv hào	BV号
c chū kǒu	C出口
c xíng hào	C型号
c yǔ yán	C语言
c zhào bēi	C罩杯
cd jī	CD机
chá ip	查IP
chǎo cp	炒CP
chōng q bì	充Q币
ct shì	CT室
d chū kǒu	D出口
d xíng hào	D型号
d zhào bēi	D罩杯
d zhī guó	D之国
dì n cì	第N次
dj bǎn	DJ版
e chū kǒu	E出口
e qiān bǎo	e签宝
e xíng hào	E型号
e zhào bēi	E罩杯
e zhāo dài	e招贷
èr k píng	2K屏
f chū kǒu	F出口
f xíng hào	F型号
f yī èr	F12
f yī líng	F10
f yī yī	F11
f zhào bēi	F罩杯
fāng kuài a	方块A
fāng kuài j	方块J
fāng kuài k	方块K
fāng kuài q	方块Q
fat	FAT
fēng ip	封IP
ff diào	FF调
fg jié	FG结
fn jiàn	Fn键
g zhào bēi	G罩杯
go chéng	Go程
guà d dàng	挂D档
guà p dàng	挂P档
guà r dàng	挂R档
h liù	H-6
h zhào bēi	H罩杯
hēi táo a	黑桃A
hēi táo j	黑桃J
hēi táo k	黑桃K
hēi táo q	黑桃Q
hěn ok	很OK
hōng liù	轰-6
hù fo	互fo
huàn ip	换IP
ic kǎ	IC卡
id kǎ	ID卡
ip kǎ	IP卡
it jiè	IT界
it yè	IT业
j bā	J-8
j liù	J-6
j qī	J-7
j wǔ	J-5
jiā qq	加QQ
jiān bā	歼-8
jiǎn cd	减CD
jiān liù	歼-6
jiān qī	歼-7
jiān wǔ	歼-5
jiào bā	教-8
jiào jiǔ	教-9
jiǔ jiǔ shì	99式
jiǔ liù shì	96式
jiù ok	就OK
k bā	K-8
k gē wáng	K歌王
k xiàn tú	K线图
k yī èr	K12
kē cp	嗑CP
l xì liè	L系列
m sì a	m4a
m xì liè	M系列
méi huā a	梅花A
méi huā j	梅花J
méi huā k	梅花K
méi huā q	梅花Q
mf diào	MF调
mh diào	MH调
mí nǐ q	谜拟Q
ml diào	ML调
mp sān	mp3
mp sì	mp4
mpa	MPa
n bā n	n8n
n cì fāng	n次方
n cì fāng	n次方
n cì mì	n次幂
n duō gè	N多个
n duō rén	N多人
o xíng xuè	O型血
o xuè xíng	O血型
ok a	OK啊
ok bù	OK不
ok la	OK啦
ok le	OK了
ok ma	OK吗
ok ma	OK嘛
ok me	OK么
ok ya	OK呀
p gè tú	P个图
p yí xià	P一下
pāi ct	拍CT
pc bǎn	PC版
pc duān	PC端
pe guǎn	PE管
pe xiàn	PE线
ph zhí	pH值
pk sài	PK赛
pn jié	PN结
pp dài	PP袋
pr jié	PR结
qq hào	QQ号
qq qún	QQ群
qq táng	QQ堂
qq xiù	QQ秀
qr mǎ	QR码
rf diào	RF调
rì k xiàn	日K线
s qū xiàn	S曲线
sān ds	3DS
sān k dǎng	三K党
sd kǎ	SD卡
sì a jí	4A级
sì k píng	4K屏
sì s diàn	4S店
t xì bāo	T细胞
t xíng tái	T型台
t xù shān	T恤衫
tf bǎn	TF版
tf kǎ	TF卡
tg qún	TG群
tv bǎn	TV版
u xíng guǎn	U形管
u xíng suǒ	U型锁
ul diào	UL调
up zhǔ	UP主
v guài kè	V怪客
v zì lǐng	V字领
v zì xíng	V字形
vib	VIB
wéi e rǔ	维E乳
wēi pe	微PE
wǔ a jí	5A级
x dàng àn	X档案
x guāng piàn	X光片
x hé y	X和Y
x jiào shòu	X教授
x shè xiàn	X射线
x zhàn jǐng	X战警
xf diào	XF调
xh diào	XH调
xī tǎ lì zǐ	θ粒子
xī tǎ lì zǐ	θ粒子
xī zàng a	西藏A
xiā bb	瞎BB
y bā	Y-8
y jiǔ	Y-9
y qī	Y-7
yuè k xiàn	月K线
yùn bā	运-8
yùn jiǔ	运-9
yùn qī	运-7
z bā	Z-8
z biàn huàn	z变换
z jiǔ	Z-9
z shì dài	Z世代
zài bb	再BB
zhí bā	直-8
zhí jiǔ	直-9
zhōu k xiàn	周K线
zuò b chāo	做B超
ā q jīng shén	阿Q精神
ā q zhèng zhuàn	阿Q正传
ā sir	阿Sir
a yī yī y	a11y
aaa jí	AAA级
ab xíng xuè	AB型血
ab xuè xíng	AB血型
ad gài nǎi	AD钙奶
ai duǎn jù	AI短剧
ai huì huà	AI绘画
ai lā jī	AI垃圾
ai mó xíng	AI模型
alt jiàn	Alt键
ào dí a bā	奥迪A8
ào dí a liù	奥迪A6
ào dí a qī	奥迪A7
ào dí a sān	奥迪A3
ào dí a sì	奥迪A4
ào dí a wǔ	奥迪A5
ào dí q bā	奥迪Q8
ào dí q èr	奥迪Q2
ào dí q qī	奥迪Q7
ào dí q sān	奥迪Q3
ào dí q wǔ	奥迪Q5
atm jī	ATM机
av nǚ yōu	AV女优
avl shù	AVL树
b huà zhēn duō	B话真多
bā bǐ q le	芭比Q了
bǎo mǎ bā xì	宝马8系
bǎo mǎ èr xì	宝马2系
bǎo mǎ i qī	宝马i7
bǎo mǎ i sān	宝马i3
bǎo mǎ i sì	宝马i4
bǎo mǎ ix	宝马iX
bǎo mǎ liù xì	宝马6系
bǎo mǎ qī xì	宝马7系
bǎo mǎ sān xì	宝马3系
bǎo mǎ sì xì	宝马4系
bǎo mǎ wǔ xì	宝马5系
bǎo mǎ x èr	宝马X2
bǎo mǎ x liù	宝马X6
bǎo mǎ x qī	宝马X7
bǎo mǎ x sān	宝马X3
bǎo mǎ x sì	宝马X4
bǎo mǎ x wǔ	宝马X5
bǎo mǎ x yī	宝马X1
bǎo mǎ yī xì	宝马1系
bào sān líng sān	报303
bào sì líng sì	报404
bào wǔ líng líng	报500
bào wǔ líng sān	报503
be dòng cí	Be动词
bēn chí a jí	奔驰A级
bēn chí b jí	奔驰B级
bēn chí c jí	奔驰C级
bēn chí e jí	奔驰E级
bēn chí s jí	奔驰S级
bēn chí v jí	奔驰V级
bg bā líng	BG80
bg bā wǔ	BG85
bg liù liù	BG66
bg liù wǔ	BG65
bg qī líng	BG70
big dǎn	Big胆
byte	Byte
c yǔ yán	C#语言
cǎi hóng sì	彩虹-4
cǎi hóng wǔ	彩虹-5
ch sì	CH-4
ch wǔ	CH-5
chá bug	查bug
chī kfc	吃KFC
chū bug	出Bug
chū jiào liù	初教-6
cj liù	CJ-6
cmd jiàn	Cmd键
co qì tǐ	CO气体
ct jiǎn chá	CT检查
ct sǎo miáo	CT扫描
cz bā	CZ-8
cz liù	CZ-6
cz qī	CZ-7
cz wǔ	CZ-5
d zhī yì zú	D之一族
ddr sì	DDR4
ddr wǔ	DDR5
del jiàn	Del键
df èr liù	DF26
df èr yī	DF21
df liù yī	DF61
df sān yī	DF31
df sì yī	DF41
df wǔ yī	DF51
dj wǔ qǔ	DJ舞曲
dōng fēng wǔ	东风-5
duō biān shòu z	多边兽Z
duō la a mèng	哆啦A梦
dvd bǎn	DVD版
end jiàn	End键
èr b qiān bǐ	2B铅笔
èr d diàn yǐng	2D电影
èr g wǎng luò	2G网络
èr h qiān bǐ	2H铅笔
èr k diàn shì	2K电视
esc jiàn	Esc键
fā ems	发EMS
fe yuán sù	Fe元素
fēi niú os	飞牛OS
gǎi bug	改bug
gāo xīn bā	高新-8
gāo xīn liù	高新-6
gj èr	GJ-2
go shèng jīng	Go圣经
go yǔ yán	Go语言
gōng jī èr	攻击-2
gōng wǎng ip	公网IP
h èr líng	H-20
h èr liù liù	H266
h èr liù sì	H264
h èr liù wǔ	H265
h liù j	H-6J
h liù k	H-6K
h liù n	H-6N
hǎn cut	喊cut
hb qiān bǐ	HB铅笔
hd gāo qīng	HD高清
hj bā	HJ-8
hōng èr líng	轰-20
hóng jiàn bā	红箭-8
hōng liù j	轰-6J
hōng liù k	轰-6K
hōng liù n	轰-6N
hóng qí jiǔ	红旗-9
hōng yóu liù	轰油-6
hq jiǔ	HQ-9
hy liù	HY-6
id yàn zhèng	ID验证
ios bǎn	iOS版
ios duān	iOS端
ip dì zhǐ	IP地址
ip diàn huà	IP电话
ip shǔ dì	IP属地
it háng yè	IT行业
it zhī jiā	IT之家
j èr líng	J-20
j sān wǔ	J-35
j sān yī	J-31
j yī líng	J-10
j yī liù	J-16
j yī wǔ	J-15
j yī yī	J-11
jd jīng dōng	JD京东
jd zì yíng	JD自营
jh qī	JH-7
jí mèng ai	即梦AI
jiān èr líng	歼-20
jiān hōng qī	歼轰-7
jiān jiào qī	歼教-7
jiān sān wǔ	歼-35
jiān sān yī	歼-31
jiān yī líng	歼-10
jiān yī liù	歼-16
jiān yī wǔ	歼-15
jiān yī yī	歼-11
jiào yī líng	教-10
jīng léi yī	惊雷-1
jiǔ jiǔ a shì	99A式
jiǔ jiǔ b shì	99B式
jiǔ liù a shì	96A式
jiǔ liù b shì	96B式
jk zhì fú	JK制服
jl bā	JL-8
jl èr	JL-2
jl jiǔ	JL-9
jl sān	JL-3
jù làng èr	巨浪-2
jù làng sān	巨浪-3
jù làng yī	巨浪-1
k zì qiān zhèng	K字签证
kǎ bug	卡Bug
kǎ lā ok	卡拉OK
kw h	kW·h
kw h	kW·h
l yī wǔ	L-15
lan kǒu	LAN口
led dēng	LED灯
led píng	LED屏
lǐ xiǎng i bā	理想i8
lǐ xiǎng i jiǔ	理想i9
lǐ xiǎng i liù	理想i6
lǐ xiǎng i qī	理想i7
lǐ xiǎng l bā	理想L8
lǐ xiǎng l jiǔ	理想L9
lǐ xiǎng l liù	理想L6
lǐ xiǎng l qī	理想L7
low zhēn	Low帧
ly yī	LY-1
m sān u bā	M3U8
mac bǎn	Mac版
mac duān	Mac端
máng guǒ tv	芒果TV
méi bug	没bug
méi rén bb	没人BB
mi shǒu huán	Mi手环
net	.NET
net	.NET
nǐ de ip	你的ip
o bù ok	O不OK
ok le ma	OK了吗
ok shǒu shì	OK手势
opt jiàn	Opt键
pc bǎn běn	PC版本
pin mǎ	PIN码
pos jī	POS机
pp fǎ lán	PP法兰
ppr guǎn	PPR管
pro bǎn	Pro版
puk mǎ	PUK码
pvc guǎn	PVC管
q qún guǎn jiā	Q群管家
qī èr líng p	720p
qq biǎo qíng	QQ表情
qq chāo huì	QQ超会
qq děng jí	QQ等级
qq dēng lù	QQ登录
qq dòng tài	QQ动态
qq fēi chē	QQ飞车
qq hào mǎ	QQ号码
qq hǎo yǒu	QQ好友
qq hóng bāo	QQ红包
qq huì yuán	QQ会员
qq kōng jiān	QQ空间
qq liáo tiān	QQ聊天
qq mì mǎ	QQ密码
qq pīn yīn	QQ拼音
qq qián bāo	QQ钱包
qq qiān míng	QQ签名
qq sān guó	QQ三国
qq shì pín	QQ视频
qq xiàng cè	QQ相册
qq xiāo xi	QQ消息
qq yīn sù	QQ音速
qq yīn yuè	QQ音乐
qq yǐng yīn	QQ影音
qq yóu xì	QQ游戏
qq yóu xiāng	QQ邮箱
qq yǔ yīn	QQ语音
qq yuè dú	QQ阅读
qq zhù cè	QQ注册
sān a dà zuò	3A大作
sān a yóu xì	3A游戏
sān c rèn zhèng	3C认证
sān d dǎ yìn	3D打印
sān d diàn yǐng	3D电影
sān g liú liàng	3G流量
sān g wǎng luò	3G网络
sdk bāo	SDK包
shá bug	啥bug
shàng jiè h wǔ	尚界H5
sì b qiān bǐ	4B铅笔
si cái liào	Si材料
