zhū mù láng mǎ	株木琅瑪
qīn hé yǐ kān	衾何以堪
mò míng qí miào	墨明棋妙
yā lì shān dà	壓力山大
yā lí shān dà	鴨梨山大
má má lài lài	麻麻賴賴
jué dài shuāng jiāo	絕代雙椒
huǐ rén bú juàn	毀人不倦
fó jiào shèng dì	佛教勝地
shān shān lái chī	杉杉來吃
shí huà shí shuō	食話食說
ling ling zong zong	零零總總
qì rú bì lǚ	棄如敝履
máo pēi fáng	毛坯房
kǎ kòu	卡扣
kā cā	咔嚓
wèi zēng	味噌
wèi zēng tāng	味噌湯
tài chà jìng	太差勁
wén zōu zōu	文縐縐
dà zhà lán	大柵欄
nián tiē	粘貼
pù guāng	曝光
dong yang dao	東庠島
shì píng	視頻
pāo fù chǎn	剖腹產
zu sai	阻塞
mó zhuǎ	魔爪
zháo xiǎng	着想
bēn kuì	崩潰
jù máng	句芒
hōng péi	烘焙
xiàn mèi	諂媚
zháo luò	着落
lei cha	脅差
gāng jìn	剛勁
jing jing	井陉
hu ting	猇亭
hu ting qu	猇亭區
shǐ nì	屎溺
dong yang	東庠
lü xian	莒縣
jun xian	浚縣
ye cheng	郯城
lì shuǐ	麗水
huī chūn	琿春
yòng zhí	甪直
wǔ kù	五厙
tái zhōu	台州
shan zhong	膻中
yíng chí	澠池
shéng chí	澠池
qiān shān	鉛山
qiān shān xiàn	鉛山縣
àn nài	按耐
béng jie	甭介
bié jie	別介
bīn láng	檳榔
cao zhi	草薙
chān he	摻和
cheng zhi	稱職
cī yá	齜牙
cī zhe yá	齜着牙
cī yá liě zuǐ	齜牙咧嘴
còu huo	湊活
dào hang	道行
gěi yǔ	給予
hòu pǔ	厚朴
hun dun	餛飩
jiǎo sè	角色
jié zhā	結紮
jù huì	鉅惠
zhǔ jiǎo	主角
nǚ zhǔ jiǎo	女主角
mái yuàn	埋怨
mó bǎn	模板
mó jù	模具
mó yàng	模樣
rén mó gǒu yàng	人模狗樣
yì mó yí yàng	一模一樣
yǒu mó yǒu yàng	有模有樣
zhuāng mó zuò yàng	裝模作樣
mù nà	木訥
nòng táng	弄堂
nuǎn he	暖和
nuò dà	偌大
qiáng jìn	強勁
shuì fú	說服
sì de	似的
téng màn	藤蔓
tiáo huàn	調換
tóng tǐ	胴體
xún má	蕁麻
qián má zhěn	蕁麻疹
háo zhōu	亳州
tiān píng zuò	天秤座
ga ran er zhi	戛然而止
zì yuàn zì ài	自怨自艾
hóng dòng	洪洞
wèi xiàn	蔚縣
chéng zhōu	嵊州
zhī shēng	吱聲
bó jǐng	脖頸
bó jǐng er	脖頸兒
cao zhi jian	草薙劍
cao zhi jing	草薙京
dà wǎn mǎ	大宛馬
dú lè lè	獨樂樂
zhoòng lè lè	眾樂樂
hǎi shēn wēi	海參崴
jià píng wā	賈平凹
kǎ bó zi	卡脖子
liù ān	六安
liù ān shì	六安市
liù ān xiàn	六安縣
liù hé qū	六合區
an hui liu an	安徽六安
nán jīng liù hé	南京六合
ān huī liù ān shì	安徽六安市
nán jīng liù hé qū	南京六合區
ān huī shěng liù ān shì	安徽省六安市
nán jīng shì liù hé qū	南京市六合區
luó shī fěn	螺螄粉
wēn tíng jūn	溫庭筠
guān kǎ	關卡
niú pí xiǎn	牛皮癬
sān wèi zhēn huǒ	三昧真火
yōu huì juàn	優惠券
méi shí zǐ	沒食子
mó xiē zuò	魔蠍座
pan yang hu	鄱陽湖
qī kē fū	契科夫
tài xíng shān	太行山
tóu pí xuè	頭皮屑
wàn bó lín	萬柏林
xuě fó lán	雪佛蘭
yā lǜ jiāng	鴨綠江
zhāng bǎi zhī	張柏芝
ā mí tuó fó	阿彌陀佛
nā mó ā mí tuó fó	南無阿彌陀佛
nán wú ā mí tuó fó	南無阿彌陀佛
nán wú ē mí tuó fó	南無阿彌陀佛
àn nài bú zhù	按耐不住
dà fù biàn biàn	大腹便便
jiē sī dǐ lǐ	歇斯底里
lì néng káng dǐng	力能扛鼎
mó líng liǎng kě	模稜兩可
xīn kuān tǐ pàng	心寬體胖
xu yu wei she	虛與委蛇
xuè mài fèn zhāng	血脈僨張
xuè mài pēn zhāng	血脈噴張
yǐn jiù jiě kě	飲鴆解渴
yǐn jiù zhǐ kě	飲鴆止渴
mù rán huí shǒu	驀然回首
shí jí ér shàng	拾級而上
