ā bà	阿壩
ān tú	安圖
bà xiāng	壩鄉
bā yí	巴宜
bǎo dé	保德
bǎo zhèn	堡鎮
bīn xiàn	賓縣
cài cūn	蔡村
cài cuò	蔡厝
cài diàn	蔡甸
cài hé	蔡河
cài qiáo	蔡橋
cài táng	蔡塘
cāng xiàn	滄縣
cāng zhèn	倉鎮
cáo cūn	曹村
cáo xī	曹溪
cáo xiàn	曹縣
cáo yíng	曹營
cáo zhōu	曹州
cáo zhuāng	曹莊
chá zhèn	茶鎮
cháng bái	長白
cháng fēng	長豐
cháng yáng	長陽
cháo yáng	朝陽
chén cāng	陳倉
chén cūn	陳村
chén hú	陳湖
chén liú	陳留
chén qiáo	陳橋
chén táng	陳塘
chén xiàn	陳縣
chén zhái	陳宅
chén zhōu	陳州
chéng kǎn	呈坎
chéng nán	城南
chéng qū	城區
chéng xiàn	成縣
chóng yáng	崇陽
chǔ chéng	楚城
chǔ dì	楚地
chǔ gōng	楚宮
chǔ jiāng	楚江
chǔ shuǐ	楚水
chǔ xióng	楚雄
chǔ zhōu	楚州
cì tóng	莿桐
cí xiàn	磁縣
cóng huà	從化
cóng jiāng	從江
cuī cūn	崔村
cuī hú	崔湖
cuī zhuāng	崔莊
cuò nà	錯那
dà lǐ	大裏
dà lǐ	大理
dà liáo	大寮
dà pí	大埤
dà xīn	大新
dài cūn	戴村
dài hé	戴河
dài xiàn	代縣
dài zhuāng	戴莊
dào xiàn	道縣
dào zhèn	道鎮
dào zhēn	道真
dé hóng	德宏
dí qìng	迪慶
dí zhèn	翟鎮
diàn zhèn	店鎮
diàn zi	店子
dié jiào	疊滘
dīng cūn	丁村
dīng lóu	丁樓
dīng qiáo	丁橋
dīng shān	丁山
dīng shǔ	丁蜀
dīng wū	丁屋
dīng zhuāng	丁莊
dōng qū	東區
dōng shān	冬山
dù jí	杜集
duī lóng	堆龍
duō lún	多倫
èr lín	二林
fǎ zhèn	法鎮
fán chéng	樊城
fàn hú	范湖
fàn xiàn	範縣
fàn yáng	范陽
fàn zhèn	範鎮
fáng xiàn	房縣
fāng zhèn	坊鎮
fèi xiàn	費縣
fēn yuán	芬園
fēng bīn	豐濱
féng cūn	馮村
fēng xiàn	豐縣
fèng xiàn	鳳縣
féng zhuāng	馮莊
fù lǐ	富裏
fú mián	福綿
fù xiàn	富縣
gāo xiàn	高縣
gāo zhèn	高鎮
gǒng xiàn	珙縣
gǔ xiàn	古縣
gù xiàn	故縣
gǔ xiāng	古鄉
guān xiàn	冠縣
guō cūn	郭村
guō diàn	郭店
guō zhèn	郭鎮
guō zhuāng	郭莊
hā zhèn	哈鎮
hǎi duān	海端
hán chéng	韓城
hán cūn	韓村
hán dōu	韓都
hán guó	韓國
hán jiāng	韓江
hán shān	韓山
hán yǔ	韓嶼
hán zhèn	韓鎮
hán zhuāng	韓莊
hé chí	河池
hé jìng	和靜
hé sāi	何塞
hé shān	何山
hé xiàn	和縣
hé yuán	何園
hóng hé	紅河
hòu lǐ	後裏
hòu lóng	後龍
hóu zhèn	侯鎮
hòu zhèn	厚鎮
hù yì	鄠邑
huá ān	華安
huá bù	華埠
huá chéng	華城
huá chí	華池
huá chuān	華川
huá dì	華地
huá dǐng	華頂
huá dū	華都
huá gǎng	華港
huá gǎng	華崗
huá gāng	華岡
huá jiāng	華江
huá jǐng	華景
huá kǒu	華口
huá lín	華林
huá lǐng	華嶺
huá lù	華路
huá níng	華寧
huá píng	華坪
huá qiáng	華強
huá qīng	華清
huá róng	華榮
huá róng	華容
huá shā	華沙
huà shān	華山
huá tiān	華天
huá tíng	華庭
huá tíng	華亭
huá xiàn	滑縣
huá xiàn	華縣
huá yán	華岩
huá yáng	華陽
huà yīn	華陰
huá yíng	華鎣
huá yuàn	華苑
huá yuè	華嶽
huá zhōu	華州
huá zhōu	華洲
huá zhuāng	華莊
huán xiàn	環縣
huáng gǎng	黃港
huáng jiǎ	黃甲
huáng kēng	黃坑
huáng tái	黃臺
huáng tán	黃壇
huáng táng	黃塘
huáng yáng	黃洋
huáng yíng	黃營
huì jì	惠濟
huī xiàn	徽縣
huò chéng	霍城
huò cūn	霍村
huò qiū	霍邱
huò quán	霍泉
huò shān	霍山
huò tóng	霍童
huò yíng	霍營
huò zhōu	霍州
jí xiàn	吉縣
jí zhèn	吉鎮
jiá xiàn	郟縣
jiā xiàn	佳縣
jiǎ zhèn	賈鎮
jiāng ān	江安
jiāng bà	江壩
jiāng běi	江北
jiāng bèi	江背
jiāng bīn	江濱
jiāng chéng	江城
jiāng chuān	江川
jiāng cūn	江村
jiǎng cūn	蔣村
jiāng cūn	薑村
jiāng dá	江達
jiāng dū	江都
jiāng dù	江渡
jiāng gān	江干
jiāng gāo	江高
jiāng guān	江關
jiāng hǎi	江海
jiāng hàn	江漢
jiāng hù	江戶
jiǎng hú	蔣湖
jiāng huá	江華
jiāng huái	江淮
jiāng jiè	江界
jiāng jīn	江津
jiāng kǒu	江口
jiāng lè	將樂
jiāng líng	江陵
jiāng lǐng	江嶺
jiāng lóu	江樓
jiāng lù	江路
jiāng mén	江門
jiāng níng	江寧
jiāng pǔ	江浦
jiāng qiáo	江橋
jiāng shā	江沙
jiāng shān	姜山
jiāng sì	江寺
jiāng sū	江蘇
jiāng tān	江灘
jiāng tán	江潭
jiāng tián	江田
jiāng tóu	江頭
jiāng wài	江外
jiāng wān	江灣
jiāng wěi	江尾
jiāng xī	江西
jiāng xià	江夏
jiāng xià	江廈
jiàng xiàn	絳縣
jiāng xiāng	江鄉
jiāng xīn	江心
jiāng yàn	江堰
jiāng yàn	姜堰
jiāng yáng	江陽
jiāng yīn	江陰
jiāng yóu	江油
jiāng yuán	江源
jiāng yuán	江原
jiāng zhèn	江鎮
jiāng zhōu	江州
jiāng zhōu	江洲
jiāng zhōu	江舟
jiāng zhǔ	江渚
jiǎng zhuāng	蔣莊
jiāng zī	江孜
jīng xiàn	涇縣
jǐng xiàn	景縣
jiū jiāng	鳩江
jiǔ zhèn	九鎮
jǔ xiàn	莒縣
jǔ zhèn	莒鎮
kǎ ruò	卡若
kǎ xiāng	卡鄉
kāi fú	開福
kǎn xiāng	坎鄉
kāng mǎ	康馬
kāng xiàn	康縣
kè zhōu	克州
kēng zhèn	坑鎮
kǒng cūn	孔村
kǒng lín	孔林
kǒng miào	孔廟
kǒng qiáo	孔橋
kǒng zhèn	孔鎮
kǒng zhuāng	孔莊
kǒu zhèn	口鎮
kuàng qū	礦區
lái yì	來義
lán xī	蘭西
lán xiàn	嵐縣
lǎng xiàn	朗縣
lǎng zhèn	朗鎮
lǐ cūn	李村
lǐ gǎng	裏港
lǐ qiáo	李橋
lǐ xiàn	理縣
lǐ xiàn	蠡縣
lǐ xiàn	澧縣
lǐ xiàn	禮縣
lǐ zhuāng	李莊
lián xī	濂溪
lián xiāng	聯鄉
lín bǎo	林堡
lín biān	林邊
lín chǎng	林場
lín chéng	林城
lín cí	林茨
lín cūn	林村
lín diàn	林甸
lín dōng	林東
lín hé	林河
lín hú	林湖
lín kǒu	林口
lín qiáo	林橋
lín shān	林山
lín táng	林塘
lín wū	林屋
lín xī	林西
lín xī	林溪
lín xiàn	林縣
lín xiàn	臨縣
lín xiāng	林鄉
lín yuán	林園
lín zhái	林宅
lín zhài	林寨
lín zhèn	林鎮
lín zhèn	臨鎮
lín zhī	林芝
lín zhōu	林州
lín zhōu	林周
lín zhuāng	林莊
líng yǎ	苓雅
liú cūn	劉村
liú hú	劉湖
liú wān	劉灣
liǔ xiāng	柳鄉
liú zhuāng	劉莊
lóng ān	龍安
lǒng xiàn	隴縣
lóng xū	龍圩
lóng zhèn	龍鎮
lóu dǐ	婁底
lóu dōng	婁東
lóu fán	婁煩
lóu fēng	婁葑
lóu jiāng	婁江
lóu shān	婁山
lóu táng	婁塘
lóu xīng	婁星
lù ào	陸奧
lù cǎo	鹿草
lù chéng	陸城
lù fēng	陸豐
lù hé	陸河
lù hún	陸渾
lù kǒu	淥口
lù liáng	陸良
lù mù	陸慕
lù pō	陸坡
lú xiàn	瀘縣
lù xiàng	陸巷
lún zhèn	倫鎮
luò hé	漯河
lǚ cūn	呂村
lǚ hé	呂河
lǚ liáng	呂梁
lǚ sòng	呂宋
mǎ biān	馬邊
mǎ chéng	馬城
mǎ cūn	馬村
mǎ dāng	馬當
mǎ dǎo	馬島
mǎ diàn	馬店
mǎ diān	馬甸
mǎ fāng	馬坊
mǎ guān	馬關
mǎ hé	馬河
mǎ hú	馬湖
mǎ jiā	瑪家
mǎ jiāng	馬江
mǎ jiē	馬街
mǎ kēng	馬坑
mǎ kǒu	馬口
mǎ lā	馬拉
mǎ lái	馬來
mǎ lán	馬欄
mǎ lèi	馬累
mǎ lǐ	馬里
mǎ lǐng	馬嶺
mǎ líng	馬陵
mǎ pō	馬坡
mǎ qiáo	馬橋
mǎ sài	馬賽
mǎ shān	馬山
mǎ tái	馬台
mǎ tián	馬田
mǎ wān	馬灣
mǎ wéi	馬嵬
mǎ xiàng	馬巷
mǎ xiāng	馬鄉
mǎ xiāng	瑪鄉
mǎ yì	馬邑
mǎ yíng	馬營
mǎ zhàn	馬站
mǎ zhèn	馬鎮
mǎ zhōu	馬州
mǎ zhuāng	馬莊
mài liáo	麥寮
mǎn zhōu	滿州
máng shì	芒市
mào xiàn	茂縣
měi bīn	美濱
méi xiàn	眉縣
mèng cūn	孟村
mèng dìng	孟定
mèng fǔ	孟府
mèng hé	孟河
mèng jīn	孟津
mèng lián	孟連
mèng mǎi	孟買
mèng mén	孟門
mèng miào	孟廟
mèng yǎng	孟養
mèng zhōu	孟州
mèng zhuāng	孟莊
mǐ dōng	米東
mí zhèn	糜鎮
miǎn xiàn	勉縣
miáo pǔ	苗圃
miào zhèn	廟鎮
mín xiàn	岷縣
míng jiān	名間
mù líng	穆稜
mù píng	穆坪
mǔ xiāng	姆鄉
nán qiáo	南譙
nán xiàn	南縣
niǎo sōng	鳥松
niè hé	聶河
niè róng	聶榮
níng xiàn	寧縣
nù jiāng	怒江
pài zhèn	派鎮
pèi xiàn	沛縣
péng zhèn	彭鎮
pí dū	郫都
píng guì	平桂
pō zhèn	泊鎮
pú xiàn	蒲縣
pù zhèn	鋪鎮
qī chéng	戚城
qí dì	齊地
qí dōu	齊都
qí hé	齊河
qí jùn	齊郡
qí lǔ	齊魯
qí shān	齊山
qí xiàn	祁縣
qǐ xiàn	杞縣
qí xiàn	淇縣
qí zhèn	齊鎮
qí zhōu	齊州
qián ān	乾安
qián jīn	前金
qián nán	黔南
qián xiàn	乾縣
qiáo shān	喬山
qiáo sī	喬司
qiáo zhuāng	喬莊
qié dìng	茄萣
qín ān	秦安
qín bā	秦巴
qín chéng	秦城
qín chuān	秦川
qín cūn	秦村
qín dū	秦都
qín fǔ	秦府
qín huái	秦淮
qín lǐng	秦嶺
qín líng	秦陵
qín lóu	秦樓
qīn nán	欽南
qín shān	秦山
qìn xiàn	沁縣
qín zhèn	秦鎮
qín zhōu	秦州
qín zhuāng	秦莊
qīng xiàn	青縣
qiū xiàn	邱縣
qū sōng	曲松
qú xiàn	渠縣
rǎn wèi	冉魏
rǎn zhuāng	冉莊
rèn zé	任澤
róng xiàn	榮縣
róng xiàn	容縣
róng xiāng	絨鄉
ruǎn xiàng	阮巷
rùn zhèn	潤鎮
sài xiāng	賽鄉
sāng zhèn	桑鎮
sè ní	色尼
sè xiāng	色鄉
shàn xiàn	單縣
shāng zhèn	商鎮
shào bó	邵伯
shào dōng	邵東
shào líng	邵陵
shào wǔ	邵武
shào yáng	邵陽
shào zhōu	邵州
shào zhuāng	邵莊
shè qí	社旗
shè xiàn	歙縣
shè xiàn	涉縣
shěn běi	瀋北
shěn chéng	瀋城
shěn dān	沈丹
shēn gǎng	伸港
shěn hé	沈河
shěn qiū	沈丘
shēn xiàn	莘縣
shěn yáng	瀋陽
shěn yuán	沈園
shī bǐng	施秉
shī diān	施甸
shī dòng	施洞
shòu xiàn	壽縣
shuǐ lín	水林
sì xiàn	泗縣
sòng cūn	宋村
sōng xiàn	嵩縣
suī xiàn	睢縣
suí xiàn	隨縣
sūn cūn	孫村
sūn qiáo	孫橋
sūn zhèn	孫鎮
suǒ xiàn	索縣
tǎ xiàn	塔縣
tāng wàng	湯旺
táng xiàn	唐縣
tāng yuán	湯原
táng zhèn	唐鎮
táo zhèn	桃鎮
téng xiàn	藤縣
tóng hú	桐湖
tōng liáo	通遼
tōng xiāo	通霄
tōng zhèn	通鎮
tóu wū	頭屋
wǎ xiāng	瓦鄉
wàn zhèn	萬鎮
wān zhǐ	灣沚
wàng ān	望安
wáng cūn	王村
wàng dū	望都
wáng sì	王寺
wáng wū	王屋
wáng zhuāng	王莊
wèi bīn	衛濱
wèi bó	魏博
wèi cáng	衛藏
wèi chéng	衛城
wèi cūn	魏村
wèi dū	魏都
wèi gǎng	衛崗
wèi hé	衛河
wèi hé	魏河
wèi huī	衛輝
wèi jùn	魏郡
wèi mǎ	魏瑪
wèi qiáo	魏橋
wēi xiàn	威縣
wèi xiàn	魏縣
wèi zhōu	魏州
wēn dà	溫大
wēn hé	溫河
wēn jiāng	溫江
wēn lǐng	溫嶺
wēn líng	溫陵
wēn quán	溫泉
wēn shā	溫莎
wén shān	文山
wēn sù	溫宿
wēn tāng	溫湯
wēn táng	溫塘
wēn xiàn	溫縣
wén xiàn	文縣
wú chéng	吳城
wū cuì	烏翠
wú cūn	吳村
wú jiāng	吳江
wǔ jié	五結
wú jùn	吳郡
wú mén	吳門
wú shān	吳山
wú sōng	吳淞
wú xiàn	吳縣
wū zhèn	烏鎮
wǔ zhèn	武鎮
wú zhōng	吳中
wú zhōng	吳忠
wú zhuāng	吳莊
xī hé	西和
xī qū	西區
xī xiàn	息縣
xí xiàn	隰縣
xī zhèn	螅鎮
xià xiàn	夏縣
xià zhèn	夏鎮
xiàn xī	線西
