zì jǐ dǎ de	自己打的
zěn me dǎ de	怎麼打的
shéi dōu bú huì fú shéi	誰都不會服誰
tiáo lái tiáo qù	調來調去
bú huì fú shéi	不會服誰
hái gěi tā men	還給他們
hěn dé jìn	很得勁
zhēn dé jìn	真得勁
kě dé jìn er	可得勁兒
yào shān yào shuǐ	樂山樂水
tóng háng de	同行的
zhòng yú	中魚
zhòng yú lǜ	中魚率
lòu gǔ	露骨
fà qiǎ	髮卡
zuó liào	作料
liú bí xuè	流鼻血
dà dōu huì	大都會
bāo xiǔ	包宿
jiē le	結了
jīng cháng liú bí xuè	經常流鼻血
chōu kòng	抽空
diào dào le	調到了
zháo le	着了
nèi tiān	那天
zuò jì	坐騎
zēng shēn	曾參
yuè hé	樂和
lè kǎo	樂考
yuè kǎo	樂考
qiú dé	求得
yī lái	一來
yō hē	呦呵
bú là	不落
bìng zhe shǒu	並着手
yī zhàn	一戰
yī zhàn qián	一戰前
yī zhàn zhōng	一戰中
yī zhàn shí	一戰時
yī zhàn hòu	一戰後
bù liǎo ba	不了吧
bù le ba	不了吧
gān le	乾了
cái feng	裁縫
qīng báo	輕薄
qiáng rén	強人
tiān yù	天雨
lín liǎo	臨了
lín liǎo le	臨了了
kòng zhe	空着
dà fū men	大夫們
xiào běn	校本
tè diào	特調
nǐ háng	你行
wǒ háng	我行
zá jiā	咱家
zá jiā de	咱家的
děi jiào	得叫
děi cóng	得從
chéng jué	成角
dǎ de	打的
shí zai	實在
zhǎng yǒu	長有
shí jì	識記
xiě tiáo	血條
chōng qiǎ	沖卡
gàn ma	幹嗎
gān ma	幹嗎
duō shao	多少
dàng le	當了
xīng xing	星星
shèng fàng	盛放
yuàn wèi	願為
dōng xī	東西
niē pēi	捏壞
sá guǎn	糝館
sá miàn	糝麵
sá zhōu	糝粥
sá tāng	糝湯
chī zǐ	吃子
qīng dào	傾倒
jiāo shòu	教授
tùn qù	褪去
yī jiǎn	一簡
sàn fà	散發
hào shì	好事
lè jiǎo	勒腳
tiáo le	調了
zhī zhāo	支着
yì cháo	一朝
tè lēi	特勒
dà hán	大汗
zhī jia	指甲
hǎo sè	好色
yī běn	一本
yí xiàn	一線
yī jí	一級
yī jí shāng cán	一級傷殘
pǔ tōng huà yī jí	普通話一級
yī jí zì biǎo	一級字表
xiáng le ba	降了吧
xiáng le méi	降了沒
duì bu liǎo	對不了
yù mǐ sá zhōu	玉米糝粥
yù mǐ sá tāng	玉米糝湯
yù mǐ sá miàn	玉米糝麵
yù mǐ sá bǐng	玉米糝餅
lào zǐ wú huǐ	落子無悔
lào zǐ bù huǐ	落子不悔
lào zǐ bù jú	落子佈局
cháng chóng zi	長蟲子
yě bù zhǎng	也不長
chū xuè xiàn	出血线
chū xuè	出血
luó jí	邏輯
cí háng	此行
shàng tou	上頭
zhǎng chóng	長蟲
lào zǐ	落子
kǎ zhù	卡住
běn shi	本事
huán shàng le	還上了
tā chuān zhuó	她穿着
tā chuān zhuó	他穿着
yí dìng huán	一定還
jiāng jìn jiǔ	將進酒
tiáo le ba	調了吧
tā tiáo le	他調了
wǒ tiáo le	我調了
yòu tiáo le	又調了
jiāng qí shǒu	將棋手
jiāng qí pán	將棋盤
jiāng qí zǐ	將棋子
zhè shéi le	這誰了
yǒu wèi	有為
zhè yí	這一
zhè yì	這一
zhá jiāo	炸焦
zhá diǎn	炸點
zhá hǎo	炸好
zhá chéng	炸成
zhá qǐ	炸起
zhá zhe	炸着
zhá qǐ le	炸起了
zhá qǐ lái	炸起來
zhá hǎo de	炸好的
zhá chéng le	炸成了
zhá guò le	炸過了
zhá chū le	炸出了
zhá guò ba	炸過吧
zhá chū lái le	炸出來了
xiāng zhá	香炸
huán shàng	還上
zhòng zhòng	重重
huán de liǎo	還得了
jìn liàng	盡量
bēi shàng	背上
diào zhì	調至
zhòng zhuāng	重裝
sūn zǐ	孫子
lǎo zǐ	老子
hé yuè	和樂
là zài	落在
děi wǎng	得往
là zài zhè	落在這
huán bù wán	還不完
tà hé	漯河
chóng kè	重刻
ke ke	咳咳
biān ji	編輯
bō zhòng	播種
mì yuè	密鑰
táng shǎi	糖色
yòu děi	又得
bì guò	拂過
zhān zhe	粘着
dàng shí	當時
dàng rì	當日
dàng nián	當年
dàng tóu	當頭
tiě qí	鐵騎
diàn juàn	墊圈
dài huáng	大黃
tiáo tiáo	調調
míng zhāo	明朝
mò rù	沒入
shuō kè	說客
gāo zhòng	高中
gāo zhōng le	高中了
zhèng zhōng le	正中了
mò rù le	沒入了
qiǎ zài	卡在
qiǎ zài le	卡在了
shuì zhe jiào	睡着覺
tā kǎ zài	他卡在
wǒ kǎ zài	我卡在
huán bù huán	還不還
tēi guò yǐn	忒過癮
tēi hǎo chī	忒好吃
tēi hǎo kàn	忒好看
tēi hǎo le	忒好了
tēi kàn de	忒看的
tēi kě ài	忒可愛
tēi kuài le	忒快了
tēi lěng le	忒冷了
tēi má fán	忒麻煩
tēi màn le	忒慢了
tēi měi le	忒美了
tēi nán kàn	忒難看
tēi niú bī	忒牛逼
tēi pián yi	忒便宜
tēi qiáng le	忒強了
tēi shǎo le	忒少了
tēi tián le	忒甜了
tēi xǐ huān	忒喜歡
tēi xià rén	忒嚇人
tēi xiǎo le	忒小了
tēi yǒu cái	忒有才
tēi zǎo le	忒早了
tēi zhǎng le	忒長了
méi luò dào	沒落到
mò luò de	沒落地
xuè zhài xiě huán	血債血還
xuè zhài xiě cháng	血債血償
nán xiōng nàn dì	難兄難弟
qiǎ zài nà lǐ	卡在那裡
qiǎ zài nǎ lǐ	卡在哪裡
jiù qiǎ zài nà lǐ le	就卡在那裡了
ài zháo nín le	礙着您了
tēi ǎi le ba	忒矮了吧
tēi bái le ba	忒白了吧
tēi báo le ba	忒薄了吧
tēi bù fāng biàn	忒不方便
tēi bù gěi lì	忒不給力
tēi bù hǎo kàn	忒不好看
tēi bù hǎo zǒu	忒不好走
tēi bù jiǎng jiu	忒不講究
tēi bú kào pǔ	忒不靠譜
tēi bù róng yì	忒不容易
tēi bú shì rén	忒不是人
tēi bù tīng huà	忒不聽話
tēi bù xǐ huān	忒不喜歡
tēi bú yào liǎn	忒不要臉
tēi chǒu le ba	忒醜了吧
tēi cháng le ba	忒長了吧
tēi dà le ba	忒大了吧
tēi duǎn le ba	忒短了吧
tēi duì bù qǐ	忒對不起
tēi duō le ba	忒多了吧
tēi gāo le ba	忒高了吧
tēi guì le ba	忒貴了吧
tēi hǎo le ba	忒好了吧
tēi hēi le ba	忒黑了吧
tēi hēi le diǎn	忒黑了點
tēi hóng le ba	忒紅了吧
tēi hòu le ba	忒厚了吧
tēi huài le ba	忒壞了吧
tēi huáng le ba	忒黃了吧
tēi jiàn le ba	忒賤了吧
tēi jìn le ba	忒近了吧
tēi jiù le ba	忒舊了吧
tēi kǔ le ba	忒苦了吧
