ān xīn	安欣
biān liàng	邊亮
cài chàng	蔡暢
cài è	蔡鍔
cài fú	蔡孚
cài jīng	蔡京
cài kān	蔡戡
cài lán	蔡瀾
cài lún	蔡倫
cài mào	蔡瑁
cài nǐ	蔡薿
cài qí	蔡奇
cài qiān	蔡牽
cài què	蔡確
cài shēn	蔡伸
cài xiāng	蔡襄
cài yǎn	蔡琰
cài yáng	蔡陽
cài yōng	蔡邕
cài zé	蔡澤
cáo áng	曹昂
cáo bīn	曹彬
cáo bīn	曹豳
cáo cān	曹參
cáo cāo	曹操
cáo chōng	曹沖
cáo é	曹娥
cáo fāng	曹芳
cáo hóng	曹洪
cáo jī	曹姬
cáo jié	曹節
cáo jūn	曹軍
cáo kūn	曹錕
cáo liú	曹劉
cáo máo	曹髦
cáo pī	曹丕
cáo rén	曹仁
cáo ruì	曹叡
cáo ruì	曹睿
cáo shuǎng	曹爽
cáo sōng	曹松
cáo sōng	曹嵩
cáo táng	曹唐
cáo xiāng	曹襄
cáo xiū	曹休
cáo yè	曹鄴
cáo yín	曹寅
cáo yú	曹禺
cáo yǔ	曹宇
cáo yuán	曹緣
cáo zhāng	曹彰
cáo zhēn	曹真
cáo zhí	曹植
chén ān	陳安
chén cè	陳策
chén chéng	陳誠
chén dào	陳到
chén dēng	陳登
chén gēng	陳賡
chén gōng	陳宮
chén guāng	陳光
chén guī	陳珪
chén jiǎo	陳矯
chén jú	陳菊
chén liàng	陳亮
chén màn	陳漫
chén měi	陳美
chén ōu	陳歐
chén qún	陳群
chén ruì	陳睿
chén shēn	陳深
chén shèng	陳勝
chén shòu	陳壽
chén tài	陳泰
chén tāng	陳湯
chén xī	陳豨
chén yì	陳毅
chén yí	陳儀
chén yú	陳餘
chén yún	陳雲
chén zhāo	陳朝
chén zhēn	陳真
chén zhěn	陳軫
chén zhī	陳祗
chóng è	種諤
chǔ wáng	楚王
cuī dàn	崔澹
cuī dí	崔滌
cuī dòng	崔峒
cuī fān	崔藩
cuī gōng	崔恭
cuī guàn	崔瓘
cuī guī	崔珪
cuī hào	崔浩
cuī hào	崔顥
cuī lǔ	崔櫓
cuī pú	崔璞
cuī qí	崔琦
cuī qiào	崔翹
cuī róng	崔融
cuī shí	崔湜
cuī shǔ	崔曙
cuī shū	崔樞
cuī tú	崔塗
cuī xuàn	崔鉉
cuī yǎn	崔琰
cuī yǎn	崔郾
cuī yè	崔液
cuī yīng	崔膺
cuī zhù	崔杼
dài fēi	戴妃
dài jìn	戴進
dài jūn	戴軍
dài kuí	戴逵
dài lì	戴笠
dài lín	戴琳
dài xù	戴旭
dài zhèn	戴震
dài zōng	戴宗
dèng ài	鄧艾
dèng dí	鄧迪
dèng fēi	鄧飛
dèng gōng	鄧公
dèng huá	鄧華
dèng kěn	鄧肯
dèng kēng	鄧鏗
dèng sù	鄧肅
dèng suí	鄧綏
dèng tōng	鄧通
dèng tuò	鄧拓
dèng yǔ	鄧禹
dèng yù	鄧愈
dèng zhī	鄧芝
dèng zhì	鄧騭
dèng zhì	鄧陟
dèng zhōng	鄧忠
dīng dù	丁度
dīng fèng	丁奉
dīng fù	丁復
dīng fǔ	丁黼
dīng gù	丁固
dīng lán	丁蘭
dīng lěi	丁磊
dīng líng	丁玲
dīng mǎn	丁滿
dīng mò	丁墨
dīng níng	丁寧
dīng wèi	丁謂
dīng xiè	丁蟹
dīng yí	丁儀
dīng yuán	丁原
dīng zhēn	丁真
dǒng chāng	董昌
dǒng chāo	董超
dǒng chéng	董承
dǒng dà	董大
dǒng fān	董藩
dǒng fèng	董奉
dǒng gāng	董罡
dǒng hé	董和
dǒng jié	董傑
dǒng jué	董厥
dǒng jūn	董軍
dǒng léi	董雷
dǒng lù	董路
dǒng mǐn	董敏
dǒng píng	董平
dǒng qiáng	董強
dǒng qiáo	董橋
dǒng wěi	董偉
dǒng xí	董襲
dǒng xián	董賢
dǒng xuān	董宣
dǒng xuě	董雪
dǒng yán	董岩
dǒng yáng	董揚
dǒng yì	董翳
dǒng yǒng	董永
dǒng yuán	董源
dǒng yǔn	董允
dǒng zhāo	董昭
dǒng zhuó	董卓
dù ān	杜安
dù ān	杜安
dù bǐ	杜比
dù bō	杜波
dù dá	杜達
dù fēi	杜飛
dù fǔ	杜甫
dù fǔ	杜甫
dù fǔ	杜甫
dù gāo	杜羔
dù gēn	杜根
dù huá	杜華
dù jiān	杜兼
dù juān	杜娟
dù jūn	杜軍
dù kāng	杜康
dù kè	杜克
dù kè	杜克
dù lā	杜拉
dù lā	杜拉
dù lā	杜拉
dù lán	杜蘭
dù lán	杜蘭
dù lè	杜勒
dù méng	杜蒙
dù mù	杜牧
dù mǔ	杜姆
dù péng	杜鵬
dù pǔ	杜普
dù sāng	杜桑
dù shā	杜莎
dù shā	杜莎
dù shā	杜莎
dù shàng	杜尚
dù shī	杜詩
dù shī	杜詩
dù shī	杜詩
dù sōng	杜松
dù wǎ	杜瓦
dù wǎ	杜瓦
dù wēi	杜威
dù xí	杜襲
dù yān	杜淹
dù yòu	杜佑
dù yǔ	杜宇
dù yù	杜預
dù yú	杜旟
dù zhì	杜摯
dù zhōu	杜周
duàn yù	段譽
duàn yù	段玉
fán chuān	樊川
fán gāng	樊綱
fàn gōng	范公
fán huǎng	樊晃
fàn jìn	范進
fàn jū	范雎
fán kuài	樊噲
fàn kuān	范寬
fàn lǐ	范蠡
fán mǐn	樊敏
fàn qīn	范欽
