ān fèng	安鳳
bā gēng	八庚
bā qí	八齊
bā sāi	八塞
bā shàng	八上
bā tán	巴談
bài xīng	拜星
bái xuān	白萱
bái xuě	白雪
bǎi zhōu	柏舟
bào fáng	鮑防
bāo hé	包何
bāo hè	包賀
bāo huī	包恢
bāo jí	包佶
bāo róng	包融
bào róng	鮑溶
bāo yǐng	包穎
bǎo yǔ	鴇羽
bì gǒu	敝笱
bǐ méi	比梅
bì mèng	碧夢
bì xū	碧虛
bì yào	畢耀
bié yuàn	別怨
bó xī	伯兮
bǔ ěr	卜爾
bù yuè	步月
cǎi fán	采蘩
cài fú	蔡孚
cǎi gé	採葛
cài guī	蔡瑰
cài kān	蔡戡
cài kūn	蔡昆
cǎi líng	採苓
cǎi píng	采蘋
cǎi qǐ	采芑
cài què	蔡確
cáo bīn	曹豳
cáo fēng	曹風
cáo shēng	曹生
cáo sōng	曹松
cáo táng	曹唐
cáo yè	曹鄴
cáo yù	曹遇
cáo zǎi	曹宰
cáo zhù	曹著
cè fàn	側犯
cén xī	岑羲
céng dàn	曾誕
céng dí	曾覿
céng dòng	曾棟
céng lì	曾隸
céng xié	曾協
céng zhào	曾肇
chái kuí	柴夔
chái wàng	柴望
chán fēng	禪峰
cháng chūn	長春
cháng dì	常棣
cháng gǔn	常袞
cháng hào	常浩
cháng yǎ	常雅
cháng yí	常沂
cháng zhēng	長征
chàng zhū	暢諸
cháo cǎi	晁采
cháo héng	朝衡
chē gōng	車攻
chē lín	車鄰
chē yìn	車胤
chén àn	陳黯
chén bīn	沉彬
chén chéng	陳乘
chén cuǐ	陳璀
chén cún	陳存
chén fán	陳璠
chén hé	陳合
chén hù	陳祜
chén jì	陳季
chén jīng	陳京
chén kuàng	陳貺
chén mù	陳睦
chén níng	陳凝
chén qiáo	陳嶠
chén sūn	陳孫
chén táo	陳陶
chén wěi	陳韡
chén xié	陳偕
chén yì	陳翊
chén zào	陳慥
chén zhì	陳至
chéng guò	程過
chéng hè	程賀
chéng lín	程鄰
chéng wǔ	程武
chéng xiān	程先
chéng zhǔn	程準
chóng tí	重題
chǔ ér	楚兒
chǔ liàng	褚亮
chù mò	處默
chǔ niáng	楚娘
chǔ shēng	褚生
chuí yáng	垂陽
chūn bié	春別
chūn bìng	春病
chūn chán	春蟬
chūn gē	春歌
chūn jiū	春鳩
chūn niáng	春娘
chūn nòng	春弄
chūn qíng	春晴
chūn sī	春思
chūn yǔ	春雨
chūn yuàn	春怨
cù shuǐ	簇水
cuī bèi	崔備
cuī bīn	崔邠
cuī cóng	崔琮
cuī dí	崔滌
cuī dòng	崔峒
cuī gěng	崔耿
cuī gōng	崔恭
cuī guàn	崔瓘
cuī guī	崔珪
cuī hé	崔何
cuī jì	崔績
cuī jiāng	崔江
cuī jiāo	崔郊
cuī jué	崔珏
cuī lǔ	崔櫓
cuī miǎn	崔沔
cuī mù	崔木
cuī pú	崔璞
cuī qiào	崔翹
cuī róng	崔融
cuī shàng	崔尚
cuī shí	崔湜
cuī shǔ	崔曙
cuī shū	崔樞
cuī sòng	崔頌
cuī tú	崔塗
cuī xuān	崔萱
cuī xuān	崔軒
cuī xuàn	崔鉉
cuī xuě	催雪
cuī yǎn	崔郾
cuī yè	崔液
cuī yōng	崔庸
cuī zhōng	崔中
dà chūn	大椿
dà huò	大濩
dà sháo	大韶
dà yú	大愚
dài yì	戴翼
dào gōng	道恭
dǎo yǐn	導引
dèng sù	鄧肅
dèng yǐ	鄧倚
dèng zhì	鄧陟
