shū luǎn guǎn ái	輸卵管癌
shū luǎn guǎn bì	輸卵管襞
shū luǎn guǎn duān	輸卵管端
shū luǎn guǎn nèi	輸卵管內
shū luǎn guǎn sǎn	輸卵管傘
shū luǎn guǎn shàn	輸卵管疝
shū luǎn guǎn xiá	輸卵管峽
shū luǎn guǎn yán	輸卵管炎
shū luǎn guǎn zhī	輸卵管支
ā bā èr shì bìng	阿巴二氏病
ā bǐ èr shì bìng	阿比二氏病
ā dí sēn shì bìng	阿狄森氏病
ā dì zōng hé zhēng	阿蒂綜合徵
ā dù èr shì bìng	阿杜二氏病
ā fú tā kǒu chuāng	阿弗他口瘡
ā fú tā kǒu yán	阿弗他口炎
ā fú tā yān yán	阿弗他咽炎
ā kè èr shì bìng	阿克二氏病
ā kē sī tǎ bìng	阿科斯塔病
ā luó èr shì zhēng	阿羅二氏徵
ā mǐ bā nóng zhǒng	阿米巴膿腫
ā pí zōng hé zhēng	阿皮綜合徵
ā shě èr shì bìng	阿舍二氏病
ā shì bǎo jiā zhèng	阿氏保加症
ā sī zōng hé zhēng	阿斯綜合徵
ā wài èr shì bìng	阿外二氏病
ā zī hǎi mò zhèng	阿茲海默症
āi dān èr shì bìng	埃丹二氏病
ài dān zōng hé zhēng	艾丹綜合徵
āi dāng zōng hé zhēng	埃當綜合徵
ài dí shēng shì bìng	愛迪生氏病
ài dí shēng shì zhèng	愛迪生氏症
ài fàn èr shì bìng	艾範二氏病
āi kè bìng dú zhěn	埃克病毒疹
ài pèi èr shì bìng	愛佩二氏病
ài sī bó gé zhèng	艾斯伯格症
ài sī lín shì bìng	艾斯林氏病
ài táng zōng hé zhēng	愛唐綜合徵
ái xìng nǎo mó yán	癌性腦膜炎
ān bù nǎo mó liú	鞍部腦膜瘤
ān dé sēn shì bìng	安德森氏病
ān fǎ èr shì bìng	安法二氏病
ān gé nǎo mó liú	鞍膈腦膜瘤
ān jī duō táng bìng	氨基多糖病
ān qū zhī fáng liú	鞍區脂肪瘤
ān shàng nǎo mó liú	鞍上腦膜瘤
ān tuō èr shì zhēng	安託二氏徵
ào dà lì yà bìng	澳大利亞病
ào fú zōng hé zhēng	奧弗綜合徵
ào kǎ èr shì zhēng	奧卡二氏徵
ào kǎo èr shì bìng	奧考二氏病
ào lǎng èr shì bìng	奧朗二氏病
ào lì āi shì bìng	奧利埃氏病
ào qí èr shì bìng	奧齊二氏病
ào shī èr shì bìng	奧施二氏病
ào shǐ zōng hé zhēng	奧史綜合徵
ào sī pí cí zhēng	奧斯皮茨徵
ào tè xiū fù shù	奧特修復術
ào wéi èr shì bìng	奧韋二氏病
ào wū èr shì bìng	奧烏二氏病
āo xiàn xìng shuǐ zhǒng	凹陷性水腫
bā bā èr shì bìng	巴巴二氏病
bā bīn sī jī zhēng	巴彬斯基徵
bā bù èr shì zhēng	巴布二氏徵
bā ěr tōng tǐ bìng	巴爾通體病
bā fú èr shì bìng	巴弗二氏病
bā fú èr shì zhēng	巴弗二氏徵
bā fú zōng hé zhēng	巴弗綜合徵
bā hén gǎi xíng shù	疤痕改形術
bā jīn sēn shì zhèng	巴金森氏症
bā léi zōng hé zhēng	巴雷綜合徵
bā lí zōng hé zhēng	巴黎綜合徵
bā lì zōng hé zhēng	巴利綜合徵
bā luò zōng hé zhēng	巴洛綜合徵
bā mǎ èr shì bìng	巴馬二氏病
bā pò zōng hé zhēng	巴珀綜合徵
bā shì xiàn náng zhǒng	巴氏腺囊腫
bā shì zōng hé zhēng	巴氏綜合徵
bā sī dé jūn bìng	巴斯德菌病
bā tè zōng hé zhēng	巴特綜合徵
bā xī èr shì bìng	巴西二氏病
bā xī tiān pào chuāng	巴西天皰瘡
bái bān hēi pí bìng	白斑黑皮病
bái jīng luàn mài zhèng	白睛亂脈症
bái jīng qīng lán bìng	白睛青藍病
bái jīng yì xuè bìng	白睛溢血病
bái mó qīn jīng bìng	白膜侵睛病
bái sāi zōng hé zhēng	白塞綜合徵
bái sè zhòu zhé bìng	白色皺折病
bài xuè chōng xīn zhèng	敗血衝心證
bài xuè rù bāo zhèng	敗血入胞證
bái zhòu qīng máng zhèng	白晝青盲證
bàn bí zài zào shù	半鼻再造術
bàn biǎo bàn lǐ zhèng	半表半裡證
bàn gān qiē chú shù	半肝切除術
bàn hóu qiē chú shù	半喉切除術
bàn huán chéng xíng shù	瓣環成形術
bǎn kǒu xiàn chóng bìng	板口線蟲病
bān mǎ èr shì bìng	班馬二氏病
bàn mó xìng xīn bìng	瓣膜性心病
bàn shé qiē chú shù	半舌切除術
bān shì sī chóng bìng	班氏絲蟲病
bàn xìng yí chuán bìng	伴性遺傳病
bàn yá qiē chú shù	半牙切除術
bān zhuàng yìng bān bìng	斑狀硬斑病
bàn zhuī tǐ jī xíng	半椎體畸形
bào fā xìng fèi yán	暴發性肺炎
bào fēng kè rè bìng	暴風客熱病
bāo gōng hán níng zhèng	胞宮寒凝證
bāo gōng xū hán zhèng	胞宮虛寒證
bāo jiǎn wài fān bìng	胞瞼外翻病
bāo lún zhèn tiào bìng	胞輪振跳病
bāo ròu zhān lún bìng	胞肉粘輪病
bāo shēng tán hé bìng	胞生痰核病
bào shòu jīng kǒng zhèng	暴受驚恐證
bāo tuō xìng chún yán	剝脫性唇炎
bāo tuō xìng yín yán	剝脫性齦炎
bāo xū rú qiú bìng	胞虛如球病
bāo yī bú xià bìng	胞衣不下病
bào yǐn bào shí zhèng	暴飲暴食症
bāo zhǒng rú táo bìng	胞腫如桃病
bāo zǐ sī jūn bìng	孢子絲菌病
bāo zǐ sī jūn zhèng	孢子絲菌症
bèi bó èr shì bìng	貝伯二氏病
bèi ěr cí shì bìng	貝爾茨氏病
bèi gēn shén jīng jié	背根神經節
bèi hā èr shì zhēng	貝哈二氏徵
bèi huá èr shì zhēng	貝華二氏徵
bèi kè sān tǐ zhēng	貝克三體徵
bèi ní yé yǎng zhěn	貝尼耶癢疹
bèi rè lóng shì bìng	貝熱隆氏病
bèi sài tè shì zhèng	貝賽特氏症
bèi sī tè shì bìng	貝斯特氏病
bèi tǎn èr shì bìng	貝坦二氏病
bèi tè màn shì bìng	貝特曼氏病
bèi xī èr shì bìng	貝西二氏病
bēn mén chéng xíng shù	賁門成形術
bēn mén lín bā huán	賁門淋巴環
bēn mén xuè guǎn liú	賁門血管瘤
běn tuō ěr shǒu shù	本托爾手術
bēng jǐn de shén jīng	繃緊的神經
bí bāo zǐ chóng bìng	鼻孢子蟲病
bí bāo zǐ jūn bìng	鼻孢子菌病
bí bèi xuè guǎn liú	鼻背血管瘤
bí bù cuò gòu liú	鼻部錯構瘤
bǐ cài èr shì zhēng	比蔡二氏徵
bí chún lín bā jié	鼻脣淋巴結
bì cóng shén jīng yán	臂叢神經炎
bí dòu chuān cì shù	鼻竇穿刺術
bí dòu huó jiǎn shù	鼻竇活檢術
bí dòu zēng gāo shù	鼻竇增高術
bí è cháng shén jīng	鼻齶長神經
bí è duǎn shén jīng	鼻齶短神經
bí è guǎn náng zhǒng	鼻齶管囊腫
bí è xìng zhǒng liú	鼻惡性腫瘤
bǐ ěr dé shì bìng	比爾德氏病
bǐ ěr mò shì bìng	比爾默氏病
bì fēng wō zhī yán	臂蜂窩織炎
bí fēng wō zhī yán	鼻蜂窩織炎
bì hòu pí shén jīng	臂後皮神經
bí jiǎ chéng xíng shù	鼻甲成形術
bí jiǎ diàn níng shù	鼻甲電凝術
bí jiǎ diàn shāo shù	鼻甲電燒術
bí jiǎ gǔ zhé shù	鼻甲骨折術
bí jiǎ qiē chú shù	鼻甲切除術
bí jiǎ qiē kāi shù	鼻甲切開術
bí jiǎ sù xíng shù	鼻甲塑型術
bǐ jiǎn èr shì bìng	比簡二氏病
bí jiān zhěng xíng shù	鼻尖整形術
bǐ jiāng èr shì bìng	比江二氏病
bí jìng jiǎn chá shù	鼻鏡檢查術
bì kǒng lín bā jié	閉孔淋巴結
bí liáng xìng zhǒng liú	鼻良性腫瘤
bí lín bā ròu liú	鼻淋巴肉瘤
bí lòu qiē chú shù	鼻瘻切除術
bì qì yù jié zhèng	痹氣鬱結證
bí qiāng chéng xíng shù	鼻腔成形術
bí qiāng huó jiǎn shù	鼻腔活檢術
bí qiāng kuò zhāng shù	鼻腔擴張術
bí qiāng qīng lǐ shù	鼻腔清理術
bí qiāng suō zhǎi shù	鼻腔縮窄術
bí qiāng xuè guǎn liú	鼻腔血管瘤
bí qiāng yuán wèi ái	鼻腔原位癌
bí shāng nǜ xuè zhèng	鼻傷衄血證
bì shén jīng má bì	臂神經麻痹
bì suǒ zōng hé zhēng	閉鎖綜合徵
bí xī ròu lào shù	鼻息肉烙術
bí yá cáo náng zhǒng	鼻牙槽囊腫
bí yān huó jiǎn shù	鼻咽活檢術
bí yān jìng jiǎn chá	鼻咽鏡檢查
bí yān kuò zhāng shù	鼻咽擴張術
bí yān tōng qì guǎn	鼻咽通氣管
bí yān yíng qū bìng	鼻咽蠅蛆病
bǐ yé tè shì bìng	比耶特氏病
bí yì tā xiàn zhèng	鼻翼塌陷症
bǐ yì xiàn chóng bìng	比翼線蟲病
bí zhōng gé nóng zhǒng	鼻中隔膿腫
bí zhōng gé xuè zhǒng	鼻中膈血腫
bí zōng hé shǒu shù	鼻綜合手術
biǎn táo cán tǐ yán	扁桃殘體炎
biǎn táo tǐ nóng zhǒng	扁桃體膿腫
biǎn táo xiàn fā yán	扁桃腺發炎
biàn xíng xìng gǔ yán	變形性骨炎
biàn xíng xù liè zhēng	變形序列徵
biàn yīng xìng yào zhěn	變應性藥疹
biǎo hán lǐ rè zhèng	表寒裏熱證
biǎo hán lǐ yǐn zhèng	表寒裏飲證
biǎo pí nèi lín ái	表皮內鱗癌
biǎo pí yàng náng zhǒng	表皮樣囊腫
bié mén èr shì zhēng	別門二氏徵
bié shī èr shì bìng	別施二氏病
bìn gǔ huó jiǎn shù	髕骨活檢術
bìn gǔ zǔ dǎng shù	髕骨阻擋術
bìn qián huá náng yán	髕前滑囊炎
bīn sī wàng gé bìng	賓斯旺格病
bìng dòu zōng hé zhēng	病竇綜合徵
bìng dú xíng fèi yán	病毒型肺炎
bìng dú xìng fèi yán	病毒性肺炎
bìng dú xìng gān yán	病毒性肝炎
bìng dú xíng gān yán	病毒型肝炎
bìng dú xìng xīn yán	病毒性心炎
bìng dú zhì jí bìng	病毒致疾病
bǐng fù bù zú zhèng	稟賦不足證
bǐng lèi chuán rǎn bìng	丙類傳染病
bìng píng mài biàn zhèng	並平脈辨證
bìng sǔn lěng dòng shù	病損冷凍術
bìng zhēng zōng hé zhēng	病徵綜合徵
bìng zhǐ fēn zhǐ shù	並指分指術
bìng zhǐ jiǎo zhèng shù	並指矯正術
bìng zhǐ jiǎo zhèng shù	並趾矯正術
bó dòng xìng xuè zhǒng	搏動性血腫
bó gé èr shì bìng	伯格二氏病
bó kè jié jié bìng	伯克結節病
bō lì cè shì bìng	波利策氏病
bō li tǐ nóng zhǒng	玻璃體膿腫
bō lún xù liè zhēng	波倫序列徵
bō lún zōng hé zhēng	波倫綜合徵
bó luó èr shì bìng	伯羅二氏病
bō sàn xìng huáng liú	播散性黃瘤
bō shì dùn zhěn bìng	波士頓疹病
bó suǒ èr shì bìng	伯索二氏病
bō wéi èr shì bìng	波韋二氏病
bù bù èr shì bìng	布布二氏病
bù jiā zōng hé zhēng	布加綜合徵
bù jié xìng yín yán	不潔性齦炎
bù kǎi èr shì bìng	布凱二氏病
bù lā dé lì bìng	布拉德利病
bù lè èr shì liú	布勒二氏瘤
bù lín zōng hé zhēng	布林綜合徵
bù lǔ shì jūn bìng	布魯氏菌病
bù lún nà shì liú	布倫納氏瘤
bù luó dí shì bìng	布羅迪氏病
bù mǎ èr shì zhēng	布馬二氏徵
bù mò èr shì bìng	布莫二氏病
bù pí èr shì liú	布皮二氏瘤
bù pǔ èr shì bìng	布普二氏病
bù qín èr shì bìng	布秦二氏病
bù shì gǎn jūn bìng	布氏桿菌病
bù xī dào zhuǎn shù	布希倒轉術
bù xī èr shì bìng	布西二氏病
bù xī kè sī zhēng	布希克斯徵
bù xī zōng hé zhēng	布西綜合徵
cái fù de xiàng zhēng	財富的象徵
cán duān qiē chú shù	殘端切除術
cán duān xiū zhěng shù	殘端修整術
cán duān zōng hé zhēng	殘端綜合徵
cán hóu qiē chú shù	殘喉切除術
cān shé huā zhì chuāng	參蛇花痔瘡
cán wèi qiē chú shù	殘胃切除術
cāo pí bìng shé yán	糙皮病舌炎
chá bù chá ěr bìng	察布查爾病
chá kē sān lián zhēng	查科三聯徵
chá lǐ shì jī xíng	查理氏畸形
chá máo chóng pí yán	茶毛蟲皮炎
chǎn hòu fā rè bìng	產後發熱病
chǎn hòu fù tòng bìng	產後腹痛病
chǎn hòu quē rǔ bìng	產後缺乳病
chǎn hòu shēn tòng bìng	產後身痛病
chǎn hòu xuè bēng bìng	產後血崩病
chǎn hòu xuè yùn bìng	產後血暈病
chǎn hòu yí fèn bìng	產後遺糞病
chǎn qián zǐ xián zhèng	產前子癇症
cháng bí jìng jiǎn chá	長鼻鏡檢查
cháng chóng fù jī xíng	腸重複畸形
cháng dào chuán rǎn bìng	腸道傳染病
cháng dào dī chóng bìng	腸道滴蟲病
cháng dào gōu chóng bìng	腸道鉤蟲病
cháng dào qì zhì zhèng	腸道氣滯證
cháng dào qiú chóng bìng	腸道球蟲病
cháng dào shí rè zhèng	腸道實熱證
cháng dào shī rè zhèng	腸道濕熱證
cháng dào yíng qū bìng	腸道蠅蛆病
cháng duàn fēn lí shù	腸段分離術
cháng fēng shāng luò zhèng	腸風傷絡證
cháng jià zōng hé zhēng	長假綜合徵
cháng liàng zōng hé zhēng	長量綜合徵
cháng lín bā ròu liú	腸淋巴肉瘤
cháng lòu bì hé shù	腸瘻閉合術
cháng lòu hái nà shù	腸瘻還納術
cháng lòu zōng hé zhēng	腸漏綜合徵
cháng shàn hái nà shù	腸疝還納術
cháng shén jīng xì tǒng	腸神經系統
cháng shēng bù lǎo shù	長生不老術
cháng wèi dào jí bìng	腸胃道疾病
cháng wèi shí rè zhèng	腸胃實熱證
cháng wèi shī rè zhèng	腸胃濕熱證
cháng xì mó nóng zhǒng	腸繫膜膿腫
cháng xuè guǎn jī xíng	腸血管畸形
cháng xuè xī chóng bìng	腸血吸蟲病
cháng yuán xìng náng zhǒng	腸源性囊腫
cháng yuán xìng náng zhǒng	腸原性囊腫
cháng zào jīn shāng zhèng	腸燥津傷證
chāo shēng jié zhì shù	超聲潔治術
chāo xióng zōng hé zhēng	超雄綜合徵
chéng gǔ bù quán zhèng	成骨不全症
chéng jī xì bāo liú	成肌細胞瘤
chéng rén yìng zhǒng bìng	成人硬腫病
chéng rén zǎo lǎo zhèng	成人早老症
chéng yòu xì bāo ái	成釉細胞癌
chéng yòu xì bāo liú	成釉細胞瘤
chéng zhī xì bāo liú	成脂細胞瘤
chǐ bù ròu yá zhǒng	齒部肉芽腫
chǐ cáo xiū bǔ shù	齒槽修補術
chǐ cáo xiū zhěng shù	齒槽修整術
chǐ cáo zài zào shù	齒槽再造術
chǐ gǔ duǎn suō shù	尺骨短縮術
chǐ gǔ jié gǔ shù	尺骨截骨術
chǐ gǔ páng guāng jī	恥骨膀胱肌
chǐ gǔ yán cháng shù	尺骨延長術
chì mài chuán jīng bìng	赤脈傳睛病
chì miàn kǒng jù zhèng	赤面恐懼症
chì mó xià chuí bìng	赤膜下垂病
chǐ shén jīng zhǎng zhī	尺神經掌支
chǐ yín chéng xíng shù	齒齦成形術
chóng bìng gōu chóng bìng	蟲病鉤蟲病
chóng bìng huí chóng bìng	蟲病蛔蟲病
chóng bìng náng chóng bìng	蟲病囊蟲病
chóng bìng náo chóng bìng	蟲病蟯蟲病
chóng bìng sī chóng bìng	蟲病絲蟲病
chóng bìng tāo chóng bìng	蟲病絛蟲病
chóng chún chún jī xíng	重唇脣畸形
chōng dòng gòu wù zhèng	衝動購物症
chóng dú jié fū zhèng	蟲毒結膚證
chóng dú jié jù zhèng	蟲毒結聚證
chóng jī cháng dào zhèng	蟲積腸道證
chóng jī huà gān zhèng	蟲積化疳證
chóng jì pí xià zhèng	蟲寄皮下證
chóng jī shāng pí zhèng	蟲積傷脾證
chóng jiǎn chéng xíng shù	重瞼成形術
chóng qīn yú nǎo zhèng	蟲侵於腦證
chóng rǎo pò mén zhèng	蟲擾魄門證
chóng rǎo yú cháng zhèng	蟲擾於腸證
chōng rèn bú gù zhèng	沖任不固證
chōng rèn shī tiáo zhèng	沖任失調證
chōng rèn xū shuāi zhèng	衝任虛衰證
chōng rèn yū zǔ zhèng	衝任瘀阻證
chóng shī yōng luò zhèng	蟲溼壅絡證
chóng tán hù jié zhèng	蟲痰互結證
chóng xié fàn fèi zhèng	蟲邪犯肺證
chóng yǎo xìng pí yán	蟲咬性皮炎
chòu yǎng cè dìng shù	臭氧測定術
chǔ mén zōng hé zhēng	楚門綜合徵
chù tòng yí jiǎn chá	觸痛儀檢查
chuān páng guāng bì chù	穿膀胱壁處
chuān tōng xìng jí bìng	穿通性疾病
chuáng páng chāo jiǎn chá	牀旁超檢查
chuāng shāng hòu yí zhèng	創傷後遺症
chuāng shāng xìng kǒu yán	創傷性口炎
chuāng shāng xìng shuǐ zhǒng	創傷性水腫
chuāng shāng xìng xuè zhǒng	創傷性血腫
chuí bān qiē chú shù	椎扳切除術
chuí bǎn qiē chú shù	椎板切除術
chuí guǎn jiǎn yā shù	椎管減壓術
chuí guǎn kuò dà shù	椎管擴大術
chuí guǎn nèi nóng zhǒng	椎管內膿腫
chuí guǎn tàn chá shù	椎管探查術
chuí guǎn xiá zhǎi zhèng	椎管狹窄症
chuí guǎn zào yǐng shù	椎管造影術
chuí jiān zhí gǔ shù	椎間植骨術
chuí liè chūn pí yán	椎獵蝽皮炎
chuí páng zhí gǔ shù	椎旁植骨術
chuí qián lín bā jié	椎前淋巴結
chuí tǐ guǎn náng zhǒng	垂體管囊腫
chuí tǐ huó jiǎn shù	垂體活檢術
chuí tǐ wēi xiàn liú	垂體微腺瘤
chuí tǐ yí zhí shù	垂體移植術
chuí zhuàng zhǐ jī xíng	槌狀指畸形
chuí zhuàng zhǐ jī xíng	槌狀趾畸形
chún dān chún pào zhěn	脣單純皰疹
chún è xìng zhǒng liú	脣惡性腫瘤
chún fēng wō zhī yán	脣蜂窩織炎
chún hòu tiān jī xíng	脣後天畸形
chún liáng xìng zhǒng liú	脣良性腫瘤
chún liè xù liè zhēng	唇裂序列徵
chún lòu qiē chú shù	脣瘻切除術
chún nián yè náng zhǒng	脣黏液囊腫
cí gòng zhèn chéng xiàng	磁共振成像
cí gòng zhèn nèi jìng	磁共振內鏡
cóng cǐ tì yé zhēng	從此替爺徵
cóng zhuàng xuè guǎn liú	叢狀血管瘤
cù jiǎ zhuàng xiàn sù	促甲狀腺素
cuì fā zōng hé zhēng	脆發綜合徵
cuó chuāng xìng bān liú	痤瘡性瘢瘤
cuó chuāng yàng pí zhěn	痤瘡樣皮疹
cuò shī kǒng huāng zhèng	錯失恐慌症
cuò shī kǒng jù zhèng	錯失恐懼症
dà cháng gǎn jūn bìng	大腸桿菌病
dà cháng huó jiǎn shù	大腸活檢術
dà cháng jī zào zhèng	大腸激躁症
dà cháng jí zào zhèng	大腸急躁症
dà cháng jié rè zhèng	大腸結熱證
dà cháng jīn kuī zhèng	大腸津虧證
dà cháng jìng jiǎn chá	大腸鏡檢查
dà cháng qiē kāi shù	大腸切開術
dà cháng shī rè zhèng	大腸濕熱證
dà cháng xū hán zhèng	大腸虛寒證
dà cháng xuè guǎn liú	大腸血管瘤
dà cháng zhí cháng ái	大腸直腸癌
dà hán fàn fèi zhèng	大寒犯肺證
dà hán fèi rè zhèng	大寒肺熱證
dà hàn xiàn náng liú	大汗腺囊瘤
dá huái èr shì bìng	達懷二氏病
dà kǒng nǎo mó liú	大孔腦膜瘤
dà kuài róng gǔ bìng	大塊溶骨病
dá lǐ āi shì bìng	達裏埃氏病
dà má jù tù zhèng	大麻劇吐症
dà nǎo fēng bì shù	大腦封閉術
dà nǎo hé shén jīng	大腦和神經
dà nǎo qián jìng mài	大腦前靜脈
dà nǎo qiǎn jìng mài	大腦淺靜脈
dà nǎo xià jìng mài	大腦下靜脈
dà pào xìng pí yán	大泡性皮炎
dà tuǐ jié duàn shù	大腿截斷術
dài mài zōng hé zhēng	代麥綜合徵
dài suǒ èr shì bìng	代索二氏病
dāi xiǎo lóng yǎ zhèng	呆小聾啞症
dài xiè lèi jí bìng	代謝類疾病
dài zhuàng jiǎo mó bìng	帶狀角膜病
dài zhuàng yín xiè bìng	帶狀銀屑病
dān chún xìng yǎng zhěn	單純性癢疹
dǎn dào huí chóng bìng	膽道蛔蟲病
dǎn dào huí chóng zhèng	膽道蛔蟲症
dǎn dào jiǎn yā shù	膽道減壓術
dǎn dào xī chóng bìng	膽道吸蟲病
dǎn dào yuán wèi ái	膽道原位癌
dǎn fǔ yù rè zhèng	膽腑鬱熱證
dǎn guǎn yí zhí shù	膽管移植術
dǎn guǎn zhōu wéi yán	膽管周圍炎
dǎn huǒ shàng nì zhèng	膽火上逆證
dān jí diàn zhuó shù	單極電灼術
dān jí shén jīng yuán	單極神經元
dǎn jìng dǎn shí shù	膽鏡膽石術
dǎn jīng yù rè zhèng	膽經鬱熱證
dān kǒng fù qiāng jìng	單孔腹腔鏡
dǎn lòu qiē chú shù	膽瘻切除術
dǎn náng jī xiàn zhèng	膽囊肌腺症
dǎn shí zōng hé zhēng	膽石綜合徵
dǎn xīn zōng hé zhēng	膽心綜合徵
dān xíng xìng xiàn liú	單形性腺瘤
dǎn yù tán rǎo zhèng	膽鬱痰擾證
dān zhī gǔ mó yán	單肢骨膜炎
dǎn zhī yù jī zhèng	膽汁鬱積症
dǎn zǒng guǎn jī xíng	膽總管畸形
dǎn zǒng guǎn náng zhǒng	膽總管囊腫
dǎn zǒng guǎn zào yǐng	膽總管造影
dāng luò zōng hé zhēng	當洛綜合徵
dào dé èr shì bìng	道德二氏病
dǎo guǎn chā rù shù	導管插入術
dào jié chì làn zhèng	倒睫赤爛症
dào jié juǎn máo bìng	倒睫捲毛病
dé kuí ěr wàn bìng	德奎爾萬病
dé wéi kè shì bìng	德維克氏病
dèng bó èr shì zhēng	鄧伯二氏徵
dèng gǔ chóng jiàn shù	鐙骨重建術
dǐ duàn shàng jìng mài	底段上靜脈
dǐ duàn xià jìng mài	底段下靜脈
dǐ duàn zǒng jìng mài	底段總靜脈
dì duì nǎo shén jīng	第對腦神經
dī fēn huà xiàn ái	低分化腺癌
dǐ gǔ huó jiǎn shù	骶骨活檢術
dī hé zōng hé zhēng	低和綜合徵
