ān tú	安图
bà xiāng	坝乡
bā yí	巴宜
bǎo dé	保德
bǎo zhèn	堡镇
bīn xiàn	宾县
cāng xiàn	沧县
cāng zhèn	仓镇
cáo xiàn	曹县
chá zhèn	茶镇
cháng bái	长白
cháng fēng	长丰
cháng yáng	长阳
cháo yáng	朝阳
chéng kǎn	呈坎
chéng nán	城南
chéng qū	城区
chéng xiàn	成县
chóng yáng	崇阳
cì tóng	莿桐
cí xiàn	磁县
cóng huà	从化
cóng jiāng	从江
cuò nà	错那
dà lǐ	大里
dà liáo	大寮
dà pí	大埤
dà xīn	大新
dài xiàn	代县
dào xiàn	道县
dào zhèn	道镇
dào zhēn	道真
dí zhèn	翟镇
diàn zhèn	店镇
dōng qū	东区
dōng shān	冬山
dù jí	杜集
duī lóng	堆龙
duō lún	多伦
èr lín	二林
fǎ zhèn	法镇
fàn xiàn	范县
fàn zhèn	范镇
fáng xiàn	房县
fāng zhèn	坊镇
fèi xiàn	费县
fēn yuán	芬园
fēng bīn	丰滨
fēng xiàn	丰县
fèng xiàn	凤县
fù lǐ	富里
fú mián	福绵
fù xiàn	富县
gāo xiàn	高县
gāo zhèn	高镇
gǒng xiàn	珙县
gǔ xiàn	古县
gǔ xiāng	古乡
guān xiàn	冠县
guō zhèn	郭镇
hā zhèn	哈镇
hǎi duān	海端
hé jìng	和静
hé xiàn	和县
hòu lǐ	后里
hòu lóng	后龙
hóu zhèn	侯镇
hòu zhèn	厚镇
hù yì	鄠邑
huá xiàn	滑县
huán xiàn	环县
huáng gǎng	黄港
huáng jiǎ	黄甲
huáng kēng	黄坑
huáng tái	黄台
huáng tán	黄坛
huáng táng	黄塘
huáng yáng	黄洋
huáng yíng	黄营
huì jì	惠济
huī xiàn	徽县
jí xiàn	吉县
jí zhèn	吉镇
jiá xiàn	郏县
jiā xiàn	佳县
jiǎ zhèn	贾镇
jiāng lè	将乐
jiàng xiàn	绛县
jīng xiàn	泾县
jǐng xiàn	景县
jiū jiāng	鸠江
jiǔ zhèn	九镇
jǔ xiàn	莒县
jǔ zhèn	莒镇
kǎ ruò	卡若
kǎ xiāng	卡乡
kāi fú	开福
kǎn xiāng	坎乡
kāng mǎ	康马
kāng xiàn	康县
kēng zhèn	坑镇
kǒng zhèn	孔镇
kǒu zhèn	口镇
kuàng qū	矿区
lái yì	来义
lán xī	兰西
lán xiàn	岚县
lǎng xiàn	朗县
lǎng zhèn	朗镇
lǐ gǎng	里港
lǐ xiàn	理县
lǐ xiàn	蠡县
lǐ xiàn	澧县
lǐ xiàn	礼县
lián xī	濂溪
lián xiāng	联乡
lín xiàn	临县
lín zhèn	临镇
líng yǎ	苓雅
liǔ xiāng	柳乡
lóng ān	龙安
lǒng xiàn	陇县
lóng xū	龙圩
lóng zhèn	龙镇
lù cǎo	鹿草
lù kǒu	渌口
lú xiàn	泸县
lún zhèn	伦镇
luò hé	漯河
mǎ jiā	玛家
mǎ xiāng	玛乡
mǎ zhèn	马镇
mài liáo	麦寮
mǎn zhōu	满州
máng shì	芒市
mào xiàn	茂县
méi xiàn	眉县
mǐ dōng	米东
mí zhèn	糜镇
miǎn xiàn	勉县
miáo pǔ	苗圃
miào zhèn	庙镇
mín xiàn	岷县
míng jiān	名间
mǔ xiāng	姆乡
nán qiáo	南谯
nán xiàn	南县
niǎo sōng	鸟松
niè róng	聂荣
níng xiàn	宁县
pài zhèn	派镇
pèi xiàn	沛县
péng zhèn	彭镇
pí dū	郫都
píng guì	平桂
pō zhèn	泊镇
pú xiàn	蒲县
pù zhèn	铺镇
qí xiàn	祁县
qǐ xiàn	杞县
qí xiàn	淇县
qí zhèn	齐镇
qián ān	乾安
qián jīn	前金
qián xiàn	乾县
qié dìng	茄萣
qīn nán	钦南
qìn xiàn	沁县
qīng xiàn	青县
qiū xiàn	邱县
qū sōng	曲松
qú xiàn	渠县
rèn zé	任泽
róng xiàn	荣县
róng xiàn	容县
róng xiāng	绒乡
rùn zhèn	润镇
sài xiāng	赛乡
sāng zhèn	桑镇
sè ní	色尼
sè xiāng	色乡
shàn xiàn	单县
shāng zhèn	商镇
shè qí	社旗
shè xiàn	歙县
shè xiàn	涉县
shēn gǎng	伸港
shēn xiàn	莘县
shòu xiàn	寿县
shuǐ lín	水林
sì xiàn	泗县
sōng xiàn	嵩县
suī xiàn	睢县
suí xiàn	随县
sūn zhèn	孙镇
suǒ xiàn	索县
tāng wàng	汤旺
táng xiàn	唐县
tāng yuán	汤原
táng zhèn	唐镇
táo zhèn	桃镇
téng xiàn	藤县
tóng hú	桐湖
tōng xiāo	通霄
tōng zhèn	通镇
tóu wū	头屋
wǎ xiāng	瓦乡
wàn zhèn	万镇
wān zhǐ	湾沚
wàng ān	望安
wàng dū	望都
wèi bīn	卫滨
wēi xiàn	威县
wèi xiàn	魏县
wēn xiàn	温县
wén xiàn	文县
wū cuì	乌翠
wǔ jié	五结
wū zhèn	乌镇
wǔ zhèn	武镇
xī hé	西和
xī qū	西区
xī xiàn	息县
xí xiàn	隰县
xī zhèn	螅镇
xià xiàn	夏县
xià zhèn	夏镇
xiàn xī	线西
xiàn xiàn	献县
xiāng dū	襄都
xiāo xiàn	萧县
xīn fǔ	新抚
xīn hé	新和
xīn pí	新埤
xīn qiū	新邱
xīn wú	新吴
xīn xiàn	新县
xīn zhèn	新镇
xīng bīn	兴宾
