zì jǐ dǎ de	自己打的
zěn me dǎ de	怎么打的
shéi dōu bú huì fú shéi	谁都不会服谁
tiáo lái tiáo qù	调来调去
bú huì fú shéi	不会服谁
hěn dé jìn	很得劲
zhēn dé jìn	真得劲
kě dé jìn er	可得劲儿
tóng háng de	同行的
diào dào le	调到了
bú là	不落
yī zhàn	一战
yī zhàn qián	一战前
yī zhàn zhōng	一战中
yī zhàn shí	一战时
yī zhàn hòu	一战后
gān le	干了
cái feng	裁缝
qīng báo	轻薄
qiáng rén	强人
tiān yù	天雨
lín liǎo	临了
lín liǎo le	临了了
kòng zhe	空着
dà fū men	大夫们
xiào běn	校本
tè diào	特调
nǐ háng	你行
wǒ háng	我行
zá jiā	咱家
zá jiā de	咱家的
děi jiào	得叫
děi cóng	得从
chéng jué	成角
dǎ de	打的
shí zai	实在
zhǎng yǒu	长有
shí jì	识记
xiě tiáo	血条
chōng qiǎ	冲卡
gàn ma	干吗
gān ma	干吗
duō shao	多少
dàng le	当了
xīng xing	星星
shèng fàng	盛放
yuàn wèi	愿为
dōng xī	东西
niē pēi	捏坏
sá guǎn	糁馆
sá miàn	糁面
sá zhōu	糁粥
sá tāng	糁汤
chī zǐ	吃子
qīng dào	倾倒
jiāo shòu	教授
tùn qù	褪去
yī jiǎn	一简
sàn fà	散发
hào shì	好事
lè jiǎo	勒脚
tiáo le	调了
zhī zhāo	支着
yì cháo	一朝
tè lēi	特勒
dà hán	大汗
zhī jia	指甲
hǎo sè	好色
yī běn	一本
yí xiàn	一线
yī jí	一级
yī jí shāng cán	一级伤残
pǔ tōng huà yī jí	普通话一级
yī jí zì biǎo	一级字表
xiáng le ba	降了吧
xiáng le méi	降了没
duì bu liǎo	对不了
yù mǐ sá zhōu	玉米糁粥
yù mǐ sá tāng	玉米糁汤
yù mǐ sá miàn	玉米糁面
yù mǐ sá bǐng	玉米糁饼
lào zǐ wú huǐ	落子无悔
lào zǐ bù huǐ	落子不悔
lào zǐ bù jú	落子布局
cháng chóng zi	长虫子
yě bù zhǎng	也不长
chū xuè xiàn	出血线
chū xuè	出血
luó jí	逻辑
cí háng	此行
shàng tou	上头
zhǎng chóng	长虫
lào zǐ	落子
kǎ zhù	卡住
běn shi	本事
huán shàng le	还上了
tā chuān zhuó	她穿着
tā chuān zhuó	他穿着
yí dìng huán	一定还
jiāng jìn jiǔ	将进酒
tiáo le ba	调了吧
tā tiáo le	他调了
wǒ tiáo le	我调了
yòu tiáo le	又调了
jiāng qí shǒu	将棋手
jiāng qí pán	将棋盘
jiāng qí zǐ	将棋子
zhè shéi le	这谁了
yǒu wèi	有为
zhè yí	这一
zhè yì	这一
zhá jiāo	炸焦
zhá diǎn	炸点
zhá hǎo	炸好
zhá chéng	炸成
zhá qǐ	炸起
zhá zhe	炸着
zhá qǐ le	炸起了
zhá qǐ lái	炸起来
zhá hǎo de	炸好的
zhá chéng le	炸成了
zhá guò le	炸过了
zhá chū le	炸出了
zhá guò ba	炸过吧
zhá chū lái le	炸出来了
xiāng zhá	香炸
huán shàng	还上
zhòng zhòng	重重
huán de liǎo	还得了
jìn liàng	尽量
bēi shàng	背上
diào zhì	调至
zhòng zhuāng	重装
sūn zǐ	孙子
lǎo zǐ	老子
hé yuè	和乐
là zài	落在
děi wǎng	得往
là zài zhè	落在这
