ā yóu qiān	锕铀铅
ā yóu xì	锕铀系
ān jī rú	氨基铷
ān jī sè	氨基铯
ān jī yīn	氨基铟
ān mián tóng	安眠酮
bái pī shí	白铍石
bái shēn shí	白砷石
bái tī kuàng	白锑矿
bái wū kuàng	白钨矿
bèi bō li	钡玻璃
bèi cháng shí	钡长石
bèi dān zhì	钡单质
bèi è shí	钡垩石
bèi fèi shí	钡沸石
bèi guàn cháng	钡灌肠
bèi jiě shí	钡解石
bèi lí zǐ	钡离子
bèi xiāo shí	钡硝石
bèi yuán sù	钡元素
bèi yuán zǐ	钡原子
běn bǐng àn	苯丙胺
běn péng suān	苯硼酸
běn wù chún	苯芴醇
běn wǔ fēn	苯五酚
běn wù tóng	苯戊酮
běn wù tóng	苯芴酮
běn xī fēn	苯硒酚
běn xì wù	苯系物
běn xiān àn	苯酰胺
běn xiàn lín	苯线磷
běn xiān lǜ	苯酰氯
běn yǎng jī	苯氧基
běn yǎng wēi	苯氧威
běn yǐ àn	苯乙胺
běn yǐ chún	苯乙醇
běn yǐ jīng	苯乙腈
běn yǐ jǐng	苯乙肼
běn yǐ mí	苯乙醚
běn yǐ quán	苯乙醛
běn yǐ quē	苯乙炔
běn yǐ suān	苯乙酸
běn yǐ tóng	苯乙酮
běn yǐ wán	苯乙烷
běn yǐ xī	苯乙烯
běn yǐ xiān	苯乙酰
běn yǐ zhǐ	苯乙酯
běn yìn àn	苯茚胺
běn zǐ hóng	苯紫红
bì zá běn	铋杂苯
biàn jī lǜ	苄基氯
biǎo lǜ chún	表氯醇
bìng bā běn	并八苯
bìng èr běn	并二苯
bǐng jī běn	丙基苯
bǐng jī lǜ	丙基氯
bìng liù běn	并六苯
bìng qī běn	并七苯
bǐng quē lǜ	丙炔氯
bìng sān běn	并三苯
bìng sì běn	并四苯
bǐng suān bèi	丙酸钡
bǐng suān lǔ	丙酸镥
bǐng suān sè	丙酸铯
bǐng suān shì	丙酸铈
bǐng suān yì	丙酸镱
bìng wǔ běn	并五苯
bǐng xī àn	丙烯胺
bǐng xī chún	丙烯醇
bǐng xī chún	丙硒醇
bǐng xī jīng	丙烯腈
bǐng xī quán	丙烯醛
bǐng xī suān	丙烯酸
bǐng xī tóng	丙烯酮
bǐng xiān àn	丙酰胺
bǐng xiān lǔ	丙酰卤
bǐng xiān lǜ	丙酰氯
bǐng xiān xiù	丙酰溴
bǐng xiù lín	丙溴磷
bó lǜ suān	铂氯酸
cǎo suān bèi	草酸钡
cǎo suān lǔ	草酸镥
cǎo suān ní	草酸铌
cǎo suān nǚ	草酸钕
cǎo suān pī	草酸铍
cǎo suān pǒ	草酸钷
cǎo suān pǔ	草酸镨
cǎo suān rú	草酸铷
cǎo suān sè	草酸铯
cǎo suān shān	草酸钐
cǎo suān shì	草酸铈
cǎo suān sī	草酸锶
cǎo suān tè	草酸铽
cǎo suān tǔ	草酸钍
cǎo suān yì	草酸镱
cǎo suān yǐ	草酸钇
cǎo suān yīn	草酸铟
cǎo suān yǒu	草酸铕
cǎo xiān lǜ	草酰氯
chéng lǜ chún	成氯醇
cù suān bèi	醋酸钡
cù suān nǚ	醋酸钕
cù suān pī	醋酸铍
cù suān pǔ	醋酸镨
cù suān sī	醋酸锶
cù suān tā	醋酸铊
cù suān tī	醋酸锑
cù suān tǔ	醋酸钍
cù suān yì	醋酸镱
cù suān yīn	醋酸铟
cù suān yǒu	醋酸铕
dà běn huán	大苯环
dàn huà bèi	氮化钡
dàn huà léi	氮化镭
dàn huà lǐ	氮化锂
dàn huà lín	氮化磷
dàn huà liú	氮化硫
dàn huà lǔ	氮化镥
dàn huà lǚ	氮化铝
dàn huà měi	氮化镁
dàn huà měng	氮化锰
dàn huà nà	氮化钠
dàn huà ní	氮化铌
dàn huà nǚ	氮化钕
dàn huà péng	氮化硼
dàn huà pī	氮化铍
dàn huà qīng	氮化氢
dàn huà sī	氮化锶
dàn huà tài	氮化钛
dàn huà tàn	氮化碳
dàn huà tī	氮化锑
dàn huà xī	氮化矽
dàn huà xiān	氮化氙
dàn huà xīn	氮化锌
dàn huà yǐ	氮化钇
dàn huà yīn	氮化铟
dàn huà yín	氮化银
dàn huà yóu	氮化铀
dàn huà zhě	氮化锗
dàn zá běn	氮杂苯
dāo dài běn	氘代苯
dì suān bèi	碲酸钡
diǎn běn àn	碘苯胺
diǎn běn fēn	碘苯酚
diǎn běn jīng	碘苯腈
diǎn dài běn	碘代苯
diǎn huà bèi	碘化钡
diǎn huà lǔ	碘化镥
diǎn huà nǚ	碘化钕
diǎn huà pī	碘化铍
diǎn huà pǒ	碘化钷
diǎn huà pǔ	碘化镨
diǎn huà rú	碘化铷
diǎn huà sè	碘化铯
diǎn huà shān	碘化钐
diǎn huà shēn	碘化砷
diǎn huà shì	碘化铈
diǎn huà sī	碘化锶
diǎn huà tā	碘化铊
diǎn huà tǎn	碘化钽
diǎn huà tè	碘化铽
diǎn huà tǔ	碘化钍
diǎn huà wū	碘化钨
diǎn huà yì	碘化镱
diǎn huà yǐ	碘化钇
diǎn huà yīn	碘化铟
diǎn huà yǒu	碘化铕
diǎn huà zhě	碘化锗
diǎn jiǎ běn	碘甲苯
diǎn suān bèi	碘酸钡
diǎn suān lǔ	碘酸镥
diǎn suān nǚ	碘酸钕
diǎn suān pǒ	碘酸钷
diǎn suān pǔ	碘酸镨
diǎn suān rú	碘酸铷
diǎn suān sè	碘酸铯
diǎn suān shān	碘酸钐
diǎn suān sī	碘酸锶
diǎn suān tè	碘酸铽
diǎn suān yì	碘酸镱
diǎn suān yǐ	碘酸钇
diǎn suān yīn	碘酸铟
diǎn suān yǒu	碘酸铕
diǎn wū dēng	碘钨灯
dié dàn bèi	叠氮钡
dié dàn běn	叠氮苯
dīng běn jiāo	丁苯胶
dīng běn tài	丁苯酞
dīng èr àn	丁二胺
dīng èr chún	丁二醇
dīng èr jīng	丁二腈
dīng èr quán	丁二醛
dīng èr quē	丁二炔
dīng èr suān	丁二酸
dīng èr tóng	丁二酮
dīng èr wò	丁二肟
dīng èr xī	丁二烯
dīng jī běn	丁基苯
dīng jī lǐ	丁基锂
dīng jī lǜ	丁基氯
dīng jī mí	丁基醚
dīng jī niào	丁基脲
dīng jī xiù	丁基溴
dīng quán suān	丁醛酸
dīng quán táng	丁醛糖
dīng quán wò	丁醛肟
dīng quē chún	丁炔醇
dīng quē lǐ	丁炔锂
dīng quē suān	丁炔酸
dīng suān ǎn	丁酸铵
dīng suān bèi	丁酸钡
dīng suān gài	丁酸钙
dīng suān gān	丁酸酐
dīng suān nà	丁酸钠
dīng suān yán	丁酸盐
dīng suān zhǐ	丁酸酯
dīng tóng suān	丁酮酸
dīng tóng táng	丁酮糖
dīng tóng wēi	丁酮威
dīng tóng wò	丁酮肟
dīng wán qì	丁烷气
dīng xī àn	丁烯胺
dīng xī chún	丁烯醇
dīng xī chún	丁硒醇
dīng xī jī	丁烯基
dīng xī jīng	丁烯腈
dīng xī qiǎng	丁烯羟
dīng xī quán	丁烯醛
dīng xī quē	丁烯炔
dīng xī suān	丁烯酸
dīng xī tóng	丁烯酮
dīng xiān àn	丁酰胺
dīng xiān běn	丁酰苯
dīng xiān lǜ	丁酰氯
dòng lì běn	动力苯
dù wǎ běn	杜瓦苯
duì běn kūn	对苯醌
duō lǜ nài	多氯萘
duò xìng yóu	惰性铀
é yī kuàng	锇铱矿
èr běn àn	二苯胺
èr běn bìng	二苯并
èr běn ēn	二苯蒽
èr běn fēn	二苯酚
èr běn fēng	二苯砜
èr běn gè	二苯铬
èr běn gǒng	二苯汞
èr běn guā	二苯胍
èr běn jī	二苯基
èr běn jǐng	二苯肼
èr běn mí	二苯醚
èr běn niào	二苯脲
èr běn tóng	二苯酮
èr diǎn běn	二碘苯
èr fú àn	二氟胺
èr fú běn	二氟苯
èr jiǎ běn	二甲苯
èr lǔ běn	二卤苯
èr lǜ àn	二氯胺
èr lǜ běn	二氯苯
èr lǜ fēn	二氯酚
èr lǜ huà	二氯化
èr lǜ nài	二氯萘
èr lǜ sōng	二氯松
èr xī tǐ	二烯体
èr xī tīng	二烯烃
èr xī tóng	二烯酮
èr xī zhí	二烯值
èr xiān àn	二酰胺
èr xiān lǜ	二酰氯
èr xiāo fēn	二硝酚
èr xiāo jī	二硝基
èr xiù běn	二溴苯
èr xiù dīng	二溴丁
èr xiù ēn	二溴蒽
èr xiù fēn	二溴酚
èr xiù huà	二溴化
èr xiù lín	二溴磷
èr xiù nài	二溴萘
èr xiù quán	二溴醛
èr yà àn	二亚胺
èr yǎng huà	二氧化
èr yǎng jī	二氧基
èr yǎng qǐ	二氧芑
èr yǎng zá	二氧杂
èr yǐ àn	二乙胺
èr yǐ běn	二乙苯
èr yǐ fēng	二乙砜
èr yǐ jī	二乙基
èr yǐ jǐng	二乙肼
èr yǐ mí	二乙醚
èr yǐ niào	二乙脲
èr yǐ suān	二乙酸
èr yǐ tóng	二乙酮
èr yǐ xī	二乙烯
fán suān nǚ	钒酸钕
fán suān yǐ	钒酸钇
fán yóu kuàng	钒铀矿
fāng tī kuàng	方锑矿
fāng tǔ shí	方钍石
fāng yóu kuàng	方铀矿
fú běn àn	氟苯胺
fú běn fēn	氟苯酚
fú běn jī	氟苯基
fú diǎn běn	氟碘苯
fú fú běn	氟氟苯
fù hán xī	富含硒
fú huà ā	氟化锕
fú huà ǎn	氟化铵
fú huà bǎ	氟化钯
fú huà bèi	氟化钡
fú huà běn	氟化苯
fú huà bì	氟化铋
fú huà biàn	氟化苄
fú huà bù	氟化钚
fú huà dàn	氟化氮
fú huà dì	氟化碲
fú huà dī	氟化镝
fú huà diǎn	氟化碘
fú huà ěr	氟化铒
fú huà fán	氟化钒
fú huà gá	氟化钆
fú huà gài	氟化钙
fú huà gào	氟化锆
fú huà gè	氟化铬
fú huà gé	氟化镉
fú huà gǒng	氟化汞
fú huà gǔ	氟化钴
fú huà guī	氟化硅
fú huà huǒ	氟化钬
fú huà jiǎ	氟化钾
fú huà jiā	氟化镓
fú huà jīn	氟化金
fú huà jū	氟化锔
fú huà kāi	氟化锎
fú huà kàng	氟化钪
fú huà kè	氟化氪
fú huà lái	氟化铼
fú huà lán	氟化镧
fú huà lǎo	氟化铑
fú huà léi	氟化镭
fú huà lǐ	氟化锂
fú huà lǔ	氟化镥
fú huà lǚ	氟化铝
fú huà měi	氟化镁
fú huà méi	氟化镅
fú huà měng	氟化锰
fú huà mù	氟化钼
fú huà nà	氟化钠
fú huà ní	氟化铌
fú huà niè	氟化镍
fú huà nǚ	氟化钕
fú huà péi	氟化锫
fú huà péng	氟化硼
fú huà pī	氟化铍
fú huà píng	氟化瓶
fú huà pǒ	氟化钷
fú huà qiān	氟化铅
fú huà qīng	氟化氢
fú huà qíng	氟化氰
fú huà rú	氟化铷
fú huà sè	氟化铯
fú huà shān	氟化钐
fú huà shēn	氟化砷
fú huà sī	氟化锶
fú huà tā	氟化铊
fú huà tàn	氟化碳
fú huà tǎn	氟化钽
fú huà tè	氟化铽
fú huà tī	氟化锑
fú huà tiě	氟化铁
fú huà tóng	氟化铜
fú huà tǔ	氟化钍
fú huà wù	氟化物
fú huà wū	氟化钨
fú huà xī	氟化矽
fú huà xī	氟化锡
fú huà xiān	氟化氙
fú huà xīn	氟化锌
fú huà xiù	氟化溴
fú huà yǎng	氟化氧
fú huà yǐ	氟化钇
fú huà yī	氟化铱
fú huà yì	氟化镱
fú huà yín	氟化银
fú huà yīn	氟化铟
fú huà yóu	氟化铀
fú huà yǒu	氟化铕
fù jí yóu	富集铀
fú jiǎ běn	氟甲苯
fú lǐ pī	氟锂铍
fú lián běn	氟联苯
fú lǜ áng	氟氯昂
fú lǜ běn	氟氯苯
fú lǜ tàn	氟氯碳
fú lǜ tīng	氟氯烃
fú lǜ wán	氟氯烷
fú shì kuàng	氟铈矿
fú tǎn suān	氟钽酸
fú tī suān	氟锑酸
fù xī chá	富硒茶
fù xī mǐ	富硒米
fú xī suān	氟硒酸
gài wū kuàng	钙钨矿
gài yóu kuàng	钙铀矿
gāo chún lǜ	高纯氯
gāo lǜ méi	高氯煤
gào tǎn kuàng	锆钽矿
gè mù gāng	铬钼钢
gè suān bèi	铬酸钡
gè suān pī	铬酸铍
gè suān sè	铬酸铯
gè suān sī	铬酸锶
gè xiān lǜ	铬酰氯
gēng xiān lǜ	庚酰氯
guī bèi shí	硅钡石
guī huà tè	硅化铽
guī jī běn	硅基苯
guī lǜ fǎng	硅氯仿
guī pī shí	硅铍石
guī shì shí	硅铈石
guī suān bèi	硅酸钡
guī suān pī	硅酸铍
guī suān sī	硅酸锶
guī tǔ shí	硅钍石
guī wū suān	硅钨酸
guǐ xiān lǜ	癸酰氯
guī yóu kuàng	硅铀矿
guī zá běn	硅杂苯
guò běn suān	过苯酸
guò lǜ suān	过氯酸
hā suān bèi	铪酸钡
hā suān sī	铪酸锶
hán shēn de	含砷的
hán yóu liàng	含铀量
hào lǜ liàng	耗氯量
hè tā kuàng	褐铊矿
hēi wū kuàng	黑钨矿
hóng tā kuàng	红铊矿
hóng tī kuàng	红锑矿
hóng yǐ kuàng	红钇矿
hóng yóu kuàng	红铀矿
huán běn àn	环苯胺
huán lǜ guā	环氯胍
huáng àn bèi	磺胺钡
huáng tī huá	黄锑华
huáng tī kuàng	黄锑矿
huáng xiān lǜ	磺酰氯
huī mù kuàng	辉钼矿
huī tī kuàng	辉锑矿
huī tī kuàng	灰锑矿
huī wū kuàng	辉钨矿
huó xìng yóu	活性铀
jǐ xiān lǜ	己酰氯
jiǎ běn àn	甲苯胺
jiǎ běn fēn	甲苯酚
jiǎ běn jī	甲苯基
jiǎ běn kūn	甲苯醌
jiǎ běn lán	甲苯蓝
jiǎ chún tǎn	甲醇钽
jiǎ fú kuí	甲氟喹
jiǎ jī běn	甲基苯
jiǎ jī chéng	甲基橙
jiǎ jī diǎn	甲基碘
jiǎ jī dīng	甲基丁
jiǎ jī ēn	甲基蒽
jiǎ jī gǒng	甲基汞
jiǎ jī hóng	甲基红
jiǎ jī huà	甲基化
jiǎ jī huáng	甲基黄
jiǎ jī jǐ	甲基己
jiǎ jī jiǎ	甲基钾
jiǎ jī jǐng	甲基肼
jiǎ jī lán	甲基蓝
jiǎ jī lǐ	甲基锂
jiǎ jī lìn	甲基膦
jiǎ jī lǜ	甲基氯
jiǎ jī lǜ	甲基绿
jiǎ jī mí	甲基醚
jiǎ jī nài	甲基萘
jiǎ jī niào	甲基脲
jiǎ jī qū	甲基䓛
jiǎ jī shèn	甲基胂
jiǎ jī xiù	甲基溴
jiǎ jī zhì	甲基质
jiǎ jī zǐ	甲基紫
jiǎ jī zú	甲基族
