B miàn	B面
B pán	B盘
B qū	B区
B xíng	B型
B zhàn	B站
B zhào	B罩
B zhù	B柱
B zǔ	B组
B zuò	B座
K bǎo	K宝
K fěn	K粉
K gē	K歌
K jì	K记
K xiàn	K线
C yǔ yán	C语言
OK a	OK啊
OK bù	OK不
OK la	OK啦
OK le	OK了
OK ma	OK吗
OK ma	OK嘛
OK me	OK么
OK ya	OK呀
PC bǎn	PC版
PC duān	PC端
PE guǎn	PE管
PK sài	PK赛
PN jié	PN结
PP dài	PP袋
QQ hào	QQ号
QQ qún	QQ群
QQ táng	QQ堂
QQ xiù	QQ秀
QR mǎ	QR码
kē CP	嗑CP
méi huā A	梅花A
méi huā J	梅花J
méi huā K	梅花K
méi huā Q	梅花Q
Go yǔ yán	Go语言
JD jīng dōng	JD京东
JD zì yíng	JD自营
JK zhì fú	JK制服
LAN kǒu	LAN口
LED dēng	LED灯
LED píng	LED屏
Mac bǎn	Mac版
Mac duān	Mac端
Q qún guǎn jiā	Q群管家
QQ biǎo qíng	QQ表情
QQ děng jí	QQ等级
QQ dēng lù	QQ登录
QQ dòng tài	QQ动态
QQ fēi chē	QQ飞车
QQ hào mǎ	QQ号码
QQ hǎo yǒu	QQ好友
QQ hóng bāo	QQ红包
QQ huì yuán	QQ会员
QQ kōng jiān	QQ空间
QQ liáo tiān	QQ聊天
QQ mì mǎ	QQ密码
QQ pīn yīn	QQ拼音
QQ qián bāo	QQ钱包
QQ qiān míng	QQ签名
QQ sān guó	QQ三国
QQ shì pín	QQ视频
QQ xiàng cè	QQ相册
QQ xiāo xī	QQ消息
QQ yīn sù	QQ音速
QQ yīn yuè	QQ音乐
QQ yǐng yīn	QQ影音
QQ yóu xì	QQ游戏
QQ yóu xiāng	QQ邮箱
QQ yǔ yīn	QQ语音
QQ zhù cè	QQ注册
duō lā A mèng	哆啦A梦
fēi niú OS	飞牛OS
gǎi BUG	改bug
gōng wǎng IP	公网IP
CNC jiā gōng	CNC加工
CNY zhàng hù	CNY账户
WIFI bàn lǚ	WiFi伴侣
WIFI mì mǎ	WiFi密码
