ān fèng	安凤
bā gēng	八庚
bā qí	八齐
bā sāi	八塞
bā shàng	八上
bā tán	巴谈
bài xīng	拜星
bái xuān	白萱
bái xuě	白雪
bǎi zhōu	柏舟
bào fáng	鲍防
bāo hé	包何
bāo hè	包贺
bāo huī	包恢
bāo jí	包佶
bāo róng	包融
bào róng	鲍溶
bāo yǐng	包颖
bǎo yǔ	鸨羽
bì gǒu	敝笱
bǐ méi	比梅
bì mèng	碧梦
bì xū	碧虚
bì yào	毕耀
bié yuàn	别怨
bó xī	伯兮
bǔ ěr	卜尔
bù yuè	步月
cǎi fán	采蘩
cài fú	蔡孚
cǎi gé	采葛
cài guī	蔡瑰
cài kān	蔡戡
cài kūn	蔡昆
cǎi líng	采苓
cǎi píng	采苹
cǎi qǐ	采芑
cài què	蔡确
cáo bīn	曹豳
cáo fēng	曹风
cáo shēng	曹生
cáo sōng	曹松
cáo táng	曹唐
cáo yè	曹邺
cáo yù	曹遇
cáo zǎi	曹宰
cáo zhù	曹著
cè fàn	侧犯
cén xī	岑羲
céng dàn	曾诞
céng dí	曾觌
céng dòng	曾栋
céng lì	曾隶
céng xié	曾协
céng zhào	曾肇
chái kuí	柴夔
chái wàng	柴望
chán fēng	禅峰
cháng chūn	长春
cháng dì	常棣
cháng gǔn	常衮
cháng hào	常浩
cháng yǎ	常雅
cháng yí	常沂
cháng zhēng	长征
chàng zhū	畅诸
cháo cǎi	晁采
cháo héng	朝衡
chē gōng	车攻
chē lín	车邻
chē yìn	车胤
chén àn	陈黯
chén bīn	沉彬
chén chéng	陈乘
chén cuǐ	陈璀
chén cún	陈存
chén fán	陈璠
chén hé	陈合
chén hù	陈祜
chén jì	陈季
chén jīng	陈京
chén kuàng	陈贶
chén mù	陈睦
chén níng	陈凝
chén qiáo	陈峤
chén sūn	陈孙
chén táo	陈陶
chén wěi	陈韡
chén xié	陈偕
chén yì	陈翊
chén zào	陈慥
chén zhì	陈至
chéng guò	程过
chéng hè	程贺
chéng lín	程邻
chéng wǔ	程武
chéng xiān	程先
chéng zhǔn	程准
chóng tí	重题
chǔ ér	楚儿
chǔ liàng	褚亮
chù mò	处默
chǔ niáng	楚娘
chǔ shēng	褚生
chuí yáng	垂阳
chūn bié	春别
chūn bìng	春病
chūn chán	春蝉
chūn gē	春歌
chūn jiū	春鸠
chūn niáng	春娘
chūn nòng	春弄
chūn qíng	春晴
chūn sī	春思
chūn yǔ	春雨
chūn yuàn	春怨
cù shuǐ	簇水
cuī bèi	崔备
cuī bīn	崔邠
cuī cóng	崔琮
cuī dí	崔涤
cuī dòng	崔峒
cuī gěng	崔耿
cuī gōng	崔恭
cuī guàn	崔瓘
cuī guī	崔珪
cuī hé	崔何
cuī jì	崔绩
cuī jiāng	崔江
cuī jiāo	崔郊
cuī jué	崔珏
cuī lǔ	崔橹
cuī miǎn	崔沔
cuī mù	崔木
cuī pú	崔璞
cuī qiào	崔翘
cuī róng	崔融
cuī shàng	崔尚
cuī shí	崔湜
cuī shǔ	崔曙
cuī shū	崔枢
cuī sòng	崔颂
cuī tú	崔涂
cuī xuān	崔萱
cuī xuān	崔轩
cuī xuàn	崔铉
cuī xuě	催雪
cuī yǎn	崔郾
cuī yè	崔液
cuī yōng	崔庸
cuī zhōng	崔中
dà chūn	大椿
dà huò	大濩
dà sháo	大韶
dà yú	大愚
dài yì	戴翼
dào gōng	道恭
dǎo yǐn	导引
dèng sù	邓肃
dèng yǐ	邓倚
dèng zhì	邓陟
dì dōng	蝃蝀
dīng ér	丁儿
dīng léng	丁棱
dīng mò	丁默
dìng sēng	定僧
dīng wèi	丁位
dīng wèi	丁谓
dīng zé	丁泽
dīng zhù	丁注
dōng gāng	东冈
dōng gē	冬歌
dōng jiāo	东郊
dōng xiān	东仙
dǒng yì	董乂
dòu cān	窦参
dòu cháng	窦常
dòu jì	窦冀
dòu méng	窦蒙
dòu móu	窦牟
dòu qún	窦群
dòu wēi	窦威
dòu xiáng	窦庠
dòu yù	窦裕
dù cháng	杜常
dú dàn	独旦
dù dōng	杜东
dù gāo	杜羔
dù lěi	杜耒
dú xī	独息
dù yǎn	杜俨
dù yān	杜淹
dù yì	杜奕
dù yǔ	杜宇
dú zuì	独醉
duàn chéng	段丞
duàn gǔ	段谷
duàn yǐ	段倚
duò dù	杕杜
duō lì	多丽
èr dōng	二冬
ěr niǎo	尔鸟
èr sòng	二宋
ér tīng	而听
èr xiāo	二萧
èr zhǒng	二肿
fá kē	伐柯
fàn cháo	范朝
fán chén	樊忱
fàn dēng	范灯
fàn fēi	范飞
fàn huā	犯花
fán qīn	繁钦
fán xún	樊珣
fàn yán	范炎
fàn yè	范夜
fàn zhōu	范周
fáng bái	房白
fāng cǎo	芳草
fāng gàn	方干
fáng guǎn	房琯
fāng héng	方衡
fáng lù	防露
fáng róng	房融
fāng shù	芳树
fāng yú	方愚
fāng zī	方资
fěi fēng	匪风
fēi xuě	飞雪
fēi zhī	妃之
fēng áo	封敖
fēng fù	风赋
fēng gàn	丰干
féng gǔn	冯衮
féng huī	冯晖
féng juān	冯涓
féng kàng	冯伉
fēng shū	封书
féng sù	冯宿
féng yá	冯涯
fēng yǔ	风雨
féng zhù	冯著
fù méi	赋梅
fǔ tián	甫田
fú yǐ	芣苡
fù yuē	父曰
fú zài	符载
gàn máo	干旄
gǎn mèng	感梦
gāo chán	高蟾
gāo jiào	高峤
gāo niǎn	高辇
gāo qiú	羔裘
gāo qú	高衢
gāo shào	高绍
gāo shì	高适
gāo zhěng	高拯
gāo zhū	高铢
gé jù	葛屦
gé lěi	葛藟
gē lìng	歌令
gè nóng	个侬
gě qín	葛覃
gé shēng	葛生
gé yè	阁夜
gěng wéi	耿湋
gěng wěi	耿玮
gěng wěi	耿纬
gōng cí	宫词
gōng pín	宫嫔
gù bié	故别
gū fèn	孤愤
gǔ fēng	鼓峰
gǔ jì	古记
gù kuàng	顾况
gū luán	孤鸾
gū píng	孤平
gǔ shè	古社
gǔ shù	古戍
gù xiòng	顾夐
guǎn jiàn	管鉴
guān yǒng	关咏
guī dēng	归登
guì fēng	桧风
guī huà	归化
guī yuàn	闺怨
guō dàn	郭澹
guó fēng	国风
guō gōng	郭恭
guō qiú	郭求
guō shòu	郭受
guō xiàng	郭向
guō yuán	郭圆
guō yún	郭郧
guō zhāng	郭章
guō zūn	郭遵
hǎi gē	海哥
hái shuì	还睡
hán bēi	韩碑
hán chá	韩察
hán chuí	韩垂
hán cóng	韩琮
hán gū	寒姑
hàn guǎng	汉广
hán hóng	韩翃
hán huáng	韩璜
hán jiàng	韩绛
hán jū	韩驹
hán jùn	韩濬
hán liǔ	寒柳
hán shān	寒山
hán xī	含曦
hán xiū	韩休
hán yí	韩仪
hán yǔ	韩屿
hán zhāo	韩昭
hán zhǔn	韩准
hè cháo	贺朝
hé guǎng	河广
hé huān	合欢
hè jí	贺及
hé jìng	何敬
hé luán	何鸾
hé níng	和凝
hé xiàn	和岘
hé zàn	何赞
hèn fù	恨赋
héng mén	衡门
héng yún	横云
hóng hào	洪皓
hóng jīng	红荆
hóng kuò	洪适
hóng qíng	红情
hóu liè	侯冽
hóu méng	侯蒙
hóu zhì	侯置
hú céng	胡曾
hú fēn	胡玢
hú gǎo	胡杲
hú sù	胡宿
hú xióng	胡雄
hú yú	胡于
hù zài	扈载
hú zǎi	胡仔
hú zhèng	胡证
hú zhōu	胡州
huà sōng	画松
huái chǔ	怀楚
huáng gé	黄格
huáng gé	黄革
huáng jī	黄机
huáng lín	黄麟
huáng pō	黄颇
huáng sǔn	黄损
huáng tán	黄谈
huáng tāo	黄滔
huáng tóng	黄童
huáng zǎi	黄宰
huáng zài	黄载
huáng zhū	黄铢
huáng zhù	黄铸
huì ān	晦庵
huì hóng	惠洪
huì jì	慧寂
huì xuān	慧宣
huì zhī	晦之
huì zhī	讳之
hún tuō	浑脱
huò zǒng	霍总
jì biàn	既辨
jiǎ céng	贾曾
jiǎ chí	贾驰
jiǎ dǎo	贾岛
jiǎ léng	贾棱
jiā sè	佳色
jiǎ yì	贾奕
jiǎ yīng	贾应
jiǎ zhì	贾至
jiǎ zōng	贾宗
jiǎn lán	减兰
jiàn táng	鉴堂
jiǎn xī	简兮
jiǎng càn	蒋璨
jiāng fēi	江妃
jiǎng huàn	蒋涣
jiǎng jí	蒋吉
jiāng jiǎo	姜皎
jiāng kāi	江开
jiǎng liè	蒋冽
jiāng mào	江袤
jiǎng tǐng	蒋挺
jiāng wéi	江为
jiāng wěi	江纬
jiāng wú	江无
jiāng xī	姜晞
jiāng yǎn	江衍
jiāo liáo	椒聊
jiǎo tóng	狡童
jiāo yù	焦郁
jiě hóng	解红
jiē hū	嗟乎
jiě wǎn	解琬
jìn yān	禁烟
jǐng chí	景池
jīng rén	荆人
jīng shū	荆叔
jīng tāng	京镗
jìng xiǎn	净显
jìng yuán	净圆
jìng zhōu	竞舟
jiǔ jiā	九佳
jiū mù	樛木
jiǔ qīng	九青
jiǔ tài	九泰
jiǔ xiè	九屑
jiǔ xiè	九蟹
jiǔ yù	九罭
jiǔ yuān	九渊
jú wēng	菊翁
jūn yuē	君曰
kǎi gē	凯歌
kāng pián	康骈
kǎo pán	考槃
kē chóng	柯崇
kě lóng	可隆
kě péng	可朋
kē yuán	柯原
kè zhì	客至
kǒng jǔ	孔矩
kǒng yí	孔夷
kòu cǐ	寇泚
kòu zhí	寇埴
kòu zhǔn	寇准
kuáng zuì	狂醉
lái hú	来鹄
láng bá	狼跋
lè lìng	乐令
lè shì	乐世
lè wǎn	乐婉
lèi yuè	酹月
lǐ bì	李壁
lǐ bó	李搏
lǐ bō	李播
lǐ bó	李渤
lǐ cén	李岑
lǐ chéng	李憕
lǐ chì	李赤
lǐ dé	李得
lǐ dòng	李洞
lǐ duān	李端
lí féng	黎逢
lǐ gān	李甘
lǐ gōng	李肱
lǐ hàn	李瀚
lǐ hé	李何
lǐ huí	李回
lǐ jiàng	李绛
lǐ jié	李结
lǐ jié	李节
lǐ jiǔ	李玖
lǐ kàng	李伉
lǐ kuí	李夔
lǐ kuò	李廓
lǐ liàng	李谅
lǐ lìng	李令
lí luán	离鸾
lǐ lǚ	李吕
lǐ mì	李秘
lǐ míng	李溟
lǐ nài	李鼐
lǐ péng	李彭
lǐ pín	李频
lǐ pǔ	李朴
lǐ qí	李颀
lǐ qián	李潜
lǐ qiáo	李峤
lǐ qiú	李璆
lǐ qú	李衢
lǐ sháo	李韶
lì shè	利涉
lǐ shēn	李深
lǐ shēn	李绅
lǐ shōu	李收
lǐ shū	李纾
lǐ sǒng	李竦
lǐ wò	李渥
lǐ xí	李习
lǐ xiá	李暇
lǐ xián	李咸
lǐ xiàn	李岘
lǐ xù	李序
lǐ xù	李续
lǐ xún	李旬
lǐ xún	李询
lǐ yào	李曜
lǐ yě	李冶
lǐ yè	李邺
lǐ yì	李乂
lǐ yì	李亿
lǐ yí	李嶷
lǐ yì	李益
lǐ yīng	李婴
lǐ yǐng	李郢
lǐ yíng	理莹
lǐ yǔ	李屿
lǐ yǔ	李羽
lǐ yú	李虞
lǐ yuàn	李愿
lǐ zhāng	李漳
lǐ zhěng	李拯
lǐ zhì	李骘
lǐ zhòu	李昼
lǐ zhòu	李胄
lián shì	廉氏
liáng lìng	梁令
liáng qià	梁洽
liáng sī	凉思
liáng xiàn	梁献
liáng xuàn	梁铉
liáng zhèn	梁震
liǎo é	蓼莪
liào níng	廖凝
liǎo xiāo	蓼萧
lín chún	林淳
lín fán	林璠
lín gé	林革
lín kuān	林宽
lín kūn	林琨
lín sōng	林嵩
lín wài	林外
lín xǔ	林珝
lín yǎng	林仰
lín zǎo	林藻
lín zī	林滋
líng zhǔn	灵准
liú bāo	刘褒
liǔ céng	柳曾
liú chā	刘叉
liú chǎng	刘敞
liú dào	刘焘
liú dòng	刘洞
liú fān	刘蕃
liǔ féng	柳逢
liú fù	刘复
liú fù	刘阜
liǔ fù	柳富
liú gāo	刘皋
liú gēng	刘耕
liú gǒng	刘珙
liú gǔ	刘谷
liú hàng	刘沆
liú huǎng	刘晃
liǔ hún	柳浑
liú jǐ	刘几
liú jì	刘洎
liú jì	刘济
liú jià	刘驾
liú jiā	留家
liú jiān	刘兼
liú jiǎn	刘戬
liú jiàn	刘鉴
liú jīng	刘泾
