ài shǔ	艾属
ān shǔ	桉属
bà shǔ	鲌属
bài shǔ	稗属
bàng shǔ	蚌属
bào shǔ	豹属
bào shǔ	鲍属
bǎo shǔ	鸨属
bèi shǔ	贝属
bēi shǔ	鹎属
bī shǔ	鲾属
biān shǔ	鳊属
biē shǔ	鳖属
cài tái	菜薹
cài tái	菜苔
cǎo shǔ	草属
chá shǔ	茶属
chái shǔ	豺属
chāng shǔ	鲳属
cháng shǔ	鲿属
chén shǔ	梣属
chóu shǔ	椆属
chún shǔ	鯙属
chún shǔ	鹑属
chún shǔ	莼属
cōng shǔ	葱属
dào shǔ	稻属
dé shǔ	德属
diāo shǔ	貂属
diāo shǔ	雕属
diāo shǔ	鲷属
dié shǔ	鲽属
dōng shǔ	鮗属
dōng shǔ	鸫属
duàn shǔ	椴属
è mù	鳄目
è shǔ	鳄属
è shǔ	鹗属
fān shǔ	藩属
fáng shǔ	鲂属
fěi shǔ	榧属
fēi shǔ	鲱属
fèn shǔ	鲼属
fēng shǔ	蜂属
fēng shǔ	枫属
fú shǔ	蝠属
fù shǔ	蝮属
gǎn shǔ	鳡属
gān shǔ	柑属
gé shǔ	葛属
gē shǔ	鸽属
gōng kē	𮭥科
gù shǔ	鲴属
gū shǔ	菰属
guǎn shǔ	鳤属
guàn shǔ	鹳属
guī shǔ	鲑属
guì shǔ	鳜属
guì shǔ	鱥属
há shǔ	蛤属
hān shǔ	蚶属
hāo shǔ	蒿属
háo shǔ	貉属
hé shǔ	荷属
hè shǔ	鹤属
hēi yè	黑叶
héng shǔ	鸻属
hóu shǔ	猴属
hú shǔ	狐属
hù shǔ	鳠属
huà shǔ	桦属
huái shǔ	槐属
huán shǔ	鹮属
huān shǔ	獾属
huáng shǔ	鳇属
huí shǔ	蛔属
huī yè	灰叶
jì shǔ	蓟属
jì shǔ	荠属
jǐ shǔ	麂属
jì shǔ	鲫属
jǐ shǔ	鱾属
jì shǔ	鲚属
jiān shǔ	菅属
jiān shǔ	鳒属
jiān shǔ	鲣属
jiāng shǔ	鳉属
jiāng shǔ	姜属
jiāo shǔ	椒属
jīng mù	鲸目
jú shǔ	菊属
jǔ shǔ	榉属
jué shǔ	蕨属
kǎo shǔ	栲属
kē shǔ	柯属
kuí shǔ	蝰属
lán shǔ	兰属
lè shǔ	鳓属
lí shǔ	梨属
lǐ shǔ	鲤属
lì shǔ	栗属
lí shǔ	藜属
lǐ shǔ	鳢属
lì shǔ	栎属
lián shǔ	莲属
liàn shǔ	楝属
lián shǔ	鲢属
liáo shǔ	僚属
liǎo shǔ	蓼属
líng shǔ	菱属
líng shǔ	柃属
líng shǔ	鲮属
liǔ shǔ	柳属
liú shǔ	硫属
liù shǔ	鹨属
lóng mù	龙目
lóng shǔ	龙属
lù shǔ	鹿属
lú shǔ	鲈属
lù shǔ	鹭属
lù shǔ	鯥属
luán shǔ	栾属
luó shǔ	螺属
mǎ shǔ	马属
máng shǔ	芒属
mǎng shǔ	蟒属
māo shǔ	猫属
méi shǔ	梅属
měng shǔ	獴属
méng shǔ	鹲属
méng shǔ	虻属
mián shǔ	棉属
mò shǔ	貘属
mù shǔ	木属
nán shǔ	楠属
nián shǔ	鲶属
nián shǔ	鲇属
niú shǔ	牛属
ōu shǔ	鸥属
páo shǔ	狍属
pī shǔ	魾属
pí shǔ	魮属
píng shǔ	苹属
píng shǔ	鲆属
pú shǔ	葡属
pǔ shǔ	朴属
pú shǔ	獛属
qī shǔ	漆属
qì shǔ	槭属
qí shǔ	旗属
qí shǔ	蜞属
qiàn shǔ	芡属
qié shǔ	茄属
qín shǔ	芹属
qīng shǔ	蜻属
qīng shǔ	鲭属
qiū shǔ	鳅属
qú shǔ	鸲属
quǎn shǔ	犬属
quán shǔ	鳈属
rán shǔ	蚺属
róng shǔ	榕属
róng shǔ	狨属
ruì shǔ	蚋属
sāng shǔ	桑属
sāo shǔ	溞属
sāo shǔ	鳋属
sēn shǔ	椮属
shān shǔ	杉属
shāo shǔ	蛸属
shè shǔ	麝属
shēn shǔ	鲹属
shì shǔ	柿属
shí shǔ	鲥属
shī shǔ	鲺属
shī shǔ	蓍属
shī shǔ	虱属
shǔ shǔ	鼠属
shǔ shǔ	黍属
sōng shǔ	松属
suān mó	酸模
sǔn shǔ	隼属
suō shǔ	鮻属
tǎ shǔ	鳎属
tái shǔ	苔属
táng shǔ	螳属
táo shǔ	桃属
téng shǔ	藤属
tí shǔ	鳀属
tián shǔ	菾属
tíng shǔ	蜓属
tù shǔ	兔属
tún shǔ	鲀属
tuó kē	驼科
tuó kē	鼍科
tuó shǔ	鼍属
wā shǔ	蛙属
wèi kē	鳚科
wěi shǔ	鲔属
wèi shǔ	鳚属
wēi shǔ	鳂属
wèi shǔ	猬属
wēng shǔ	鹟属
wú shǔ	鹀属
xiàn shǔ	苋属
xián shǔ	鹇属
xiǎn shǔ	蚬属
xiàng shǔ	象属
xìng shǔ	杏属
xióng shǔ	熊属
xù shǔ	魣属
xuě shǔ	鳕属
xún shǔ	鲟属
yá shǔ	蚜属
yā shǔ	鸭属
yā shǔ	鸦属
yǎn shǔ	鼹属
yàn shǔ	雁属
yàn shǔ	燕属
yáng shǔ	杨属
yáng shǔ	羊属
yáo shǔ	鳐属
yào shǔ	鹞属
yē shǔ	椰属
yì shǔ	鮨属
yǐ shǔ	蚁属
yīng shǔ	鹰属
yíng shǔ	蝇属
yīng shǔ	樱属
yīng shǔ	莺属
yǒng shǔ	鲬属
yóu shǔ	鱿属
yóu shǔ	鲉属
yóu shǔ	莸属
yòu shǔ	鼬属
yú shǔ	鱼属
yù shǔ	芋属
yú shǔ	榆属
yù shǔ	鹬属
yuān shǔ	鸢属
yuán shǔ	鼋属
zǎo shǔ	藻属
zǎo shǔ	蚤属
zǎo shǔ	枣属
zéi shǔ	鲗属
