shū luǎn guǎn ái	输卵管癌
shū luǎn guǎn bì	输卵管襞
shū luǎn guǎn duān	输卵管端
shū luǎn guǎn nèi	输卵管内
shū luǎn guǎn sǎn	输卵管伞
shū luǎn guǎn shàn	输卵管疝
shū luǎn guǎn xiá	输卵管峡
shū luǎn guǎn yán	输卵管炎
shū luǎn guǎn zhī	输卵管支
ā bā èr shì bìng	阿巴二氏病
ā bǐ èr shì bìng	阿比二氏病
ā dí sēn shì bìng	阿狄森氏病
ā dì zōng hé zhēng	阿蒂综合征
ā dù èr shì bìng	阿杜二氏病
ā fú tā kǒu chuāng	阿弗他口疮
ā fú tā kǒu yán	阿弗他口炎
ā fú tā yān yán	阿弗他咽炎
ā kè èr shì bìng	阿克二氏病
ā kē sī tǎ bìng	阿科斯塔病
ā luó èr shì zhēng	阿罗二氏征
ā mǐ bā nóng zhǒng	阿米巴脓肿
ā pí zōng hé zhēng	阿皮综合征
ā shě èr shì bìng	阿舍二氏病
ā shì bǎo jiā zhèng	阿氏保加症
ā sī zōng hé zhēng	阿斯综合征
ā wài èr shì bìng	阿外二氏病
ā zī hǎi mò zhèng	阿兹海默症
āi dān èr shì bìng	埃丹二氏病
ài dān zōng hé zhēng	艾丹综合征
āi dāng zōng hé zhēng	埃当综合征
ài dí shēng shì bìng	爱迪生氏病
ài dí shēng shì zhèng	爱迪生氏症
ài fàn èr shì bìng	艾范二氏病
āi kè bìng dú zhěn	埃克病毒疹
ài pèi èr shì bìng	爱佩二氏病
ài sī bó gé zhèng	艾斯伯格症
ài sī lín shì bìng	艾斯林氏病
ài táng zōng hé zhēng	爱唐综合征
ái xìng nǎo mó yán	癌性脑膜炎
ān bù nǎo mó liú	鞍部脑膜瘤
ān dé sēn shì bìng	安德森氏病
ān fǎ èr shì bìng	安法二氏病
ān gé nǎo mó liú	鞍膈脑膜瘤
ān jī duō táng bìng	氨基多糖病
ān qū zhī fáng liú	鞍区脂肪瘤
ān shàng nǎo mó liú	鞍上脑膜瘤
ān tuō èr shì zhēng	安托二氏征
ào dà lì yà bìng	澳大利亚病
ào fú zōng hé zhēng	奥弗综合征
ào kǎ èr shì zhēng	奥卡二氏征
ào kǎo èr shì bìng	奥考二氏病
ào lǎng èr shì bìng	奥朗二氏病
ào lì āi shì bìng	奥利埃氏病
ào qí èr shì bìng	奥齐二氏病
ào shī èr shì bìng	奥施二氏病
ào shǐ zōng hé zhēng	奥史综合征
ào sī pí cí zhēng	奥斯皮茨征
ào tè xiū fù shù	奥特修复术
ào wéi èr shì bìng	奥韦二氏病
ào wū èr shì bìng	奥乌二氏病
āo xiàn xìng shuǐ zhǒng	凹陷性水肿
bā bā èr shì bìng	巴巴二氏病
bā bīn sī jī zhēng	巴彬斯基征
bā bù èr shì zhēng	巴布二氏征
bā ěr tōng tǐ bìng	巴尔通体病
bā fú èr shì bìng	巴弗二氏病
bā fú èr shì zhēng	巴弗二氏征
bā fú zōng hé zhēng	巴弗综合征
bā hén gǎi xíng shù	疤痕改形术
bā jīn sēn shì zhèng	巴金森氏症
bā léi zōng hé zhēng	巴雷综合征
bā lí zōng hé zhēng	巴黎综合征
bā lì zōng hé zhēng	巴利综合征
bā luò zōng hé zhēng	巴洛综合征
bā mǎ èr shì bìng	巴马二氏病
bā pò zōng hé zhēng	巴珀综合征
bā shì xiàn náng zhǒng	巴氏腺囊肿
bā shì zōng hé zhēng	巴氏综合征
bā sī dé jūn bìng	巴斯德菌病
bā tè zōng hé zhēng	巴特综合征
bā xī èr shì bìng	巴西二氏病
bā xī tiān pào chuāng	巴西天疱疮
bái bān hēi pí bìng	白斑黑皮病
bái jīng luàn mài zhèng	白睛乱脉症
bái jīng qīng lán bìng	白睛青蓝病
